peak1_amp,peak2_amp,peak3_amp,peak4_amp,peak5_amp,peak6_amp,peak1_freq,peak2_freq,peak3_freq,peak4_freq,peak5_freq,peak6_freq,peak1_width,peak2_width,peak3_width,peak4_width,peak5_width,peak6_width,baseline,powerOf10PercentBeamSplitter(MicroWatt),r_squared for dBm Fit,peak1_area_W_Hz,peak2_area_W_Hz,peak3_area_W_Hz,peak4_area_W_Hz,peak5_area_W_Hz,peak6_area_W_Hz
0.68157108199087,0.2893526226480702,0.3309692437008594,0.8235592814938382,4.377267674536262,0.0,78709163.985152,161576988.15566796,239111193.00849596,315742752.0575223,387634517.76649696,0.0,57328937.40029363,28008511.37090033,11968958.659938388,11757352.102016956,19529455.231449746,0.0,-121.15029638315109,2.662,0.9651733201401518,1.0601270713379902e-08,6.228981633133771e-09,4.034276020059294e-09,8.526116483182686e-09,5.87134673910776e-08,0.0
0.7577983531805126,0.3931691821597958,1.005609694363139,1.6703205292021757,6.994216918377199,0.0,81114525.69364084,161576988.15566796,240087986.46362096,315891708.9678509,387634517.76649696,0.0,46518427.88162264,19567660.330222525,13211065.96371982,11619507.628094325,24336579.244714424,0.0,-121.1977500093871,6.76,0.9657334454554992,1.1226142187874956e-08,6.787416089745567e-09,1.0836951125852318e-08,1.913780278061098e-08,1.4110613102260592e-07,0.0
0.9052116046531998,0.5317900501345745,1.436056213376028,2.410966786695901,8.741312514583182,0.0,77890055.19481207,161576988.15566796,240087986.43604612,315891708.9678259,387634517.76649696,0.0,47808172.7632063,16151332.795684911,16545384.859640732,13019065.46877831,26337710.96055968,0.0,-121.26191369539752,10.57,0.9825702155834082,1.3514653960138282e-08,8.476130959446795e-09,1.8394907625650057e-08,3.2292985911884525e-08,2.240489171438739e-07,0.0
1.3698088127267602,1.16900383296141,3.588172233559749,4.444673488516073,13.524861661160488,0.0,81712351.94583255,161477516.00147337,239014525.48624972,313361390.7311529,387634517.76649696,0.0,35828259.38956734,18539552.737840723,20322281.533380702,16350953.418248933,34751052.993385725,0.0,-121.09792384215535,38.05,0.9932790865196496,2.2570046575767623e-08,2.148452892619364e-08,6.871312377664051e-08,1.163301194821478e-07,8.443315358018053e-07,0.0
2.167933486138081,1.994100515990127,5.5207935317075885,5.80798644221803,16.970905072075173,0.0,78432906.40792617,159602841.68680212,237627652.80564547,310920083.6581594,387634517.76649696,0.0,31521904.98243716,21863251.482115675,24198162.15593768,17173112.419595506,43388674.50804664,0.0,-120.8646798082968,95.4,0.9935430666743296,4.06772179029453e-08,4.92019732721073e-08,1.7579011118470305e-07,2.936842333942484e-07,2.247945618421498e-06,0.0
3.133502558018189,2.8306615945351954,6.961101773593579,6.038034146358184,19.55349471269192,0.0,80073329.37555243,160369424.93886292,238851602.11027285,310238508.9177408,387634517.76649696,0.0,29640086.5025334,22702358.4234424,26966938.19988653,15042062.192573538,52397301.85509552,0.0,-120.5916139276314,190.1,0.98906474588309,7.300271334986431e-08,9.257679539335913e-08,3.585821281155412e-07,5.387927665947289e-07,4.807882302532318e-06,0.0
3.8037947731496407,3.440015480292751,7.969831390313125,6.506804258839461,22.36338043212891,0.0,78463917.14779155,159166759.4106242,237743482.9232494,308876826.90948033,387634517.76649696,0.0,30689055.423830528,24305426.491742324,29053259.303057484,15022105.999300582,52888989.288031824,0.0,-120.19247739045612,303.0,0.9857734671667352,1.080031214045303e-07,1.455119115243742e-07,5.761901945048815e-07,8.392741960454979e-07,9.570436003771296e-06,0.0
4.231580054693133,3.954449406597863,8.872061588272166,7.705959603232537,25.4116134643555,0.0,75858992.99514887,156311143.4905931,234940379.18239725,306263813.2740476,387107836.6593494,0.0,29669302.706909742,25762436.78148159,29210607.395157862,16173931.370686252,48298288.44776309,0.0,-119.70371302204308,421.0,0.977539074809477,1.349429417680372e-07,1.9755647948408046e-07,7.848516050715698e-07,1.2189898009334008e-06,1.8680919046835445e-05,0.0
4.519830876369904,4.279145068419045,9.371677531796117,8.255475406587282,27.596122741699208,0.0,76391713.0814022,156817924.34160125,235708957.96605796,306856009.0139503,387634517.7664222,0.0,28864740.60411532,26351836.500873502,30093990.890865374,16176938.532645758,46213106.0630398,0.0,-119.1069929109691,557.6,0.972370023595535,1.70733252552788e-07,2.5839321845614185e-07,1.0401135446779205e-06,1.6603054536206352e-06,3.259358560438018e-05,0.0
4.66999173746306,4.43307762670602,9.755366195583193,9.003069921950964,30.160736083984407,0.0,74540833.6883583,155120701.8124235,234252158.90578225,305055848.08690065,385681697.3081289,0.0,27979643.342603665,26422817.78795792,30246868.2590483,16365467.142591365,41549434.76322406,0.0,-118.60363532942296,655.0,0.9605202913308144,1.912549633064089e-07,2.960765373898092e-07,1.213946228718516e-06,1.977809787265573e-06,5.66661766878987e-05,0.0
