Name,Sweep (T1),,,
Date,06/19/2025,,,
Time,13:10:57,,,
Instrument,FPC1000 - 204582/002,,,
Firmware Version,V1.70,,,
Country of Origin,Czech Republic,,,
Instrument Mode,Spectrum Analyzer,,,
Meas Mode,Spectrum,,,
Uplink,- - -,,,
Downlink,- - -,,,
Channel,- - -,,,
Center Frequency,400000000,Hz,,
Frequency Offset,0,Hz,,
Span,800000000,Hz,,
Ref Level,-69.1,dBm,,
Ref Offset,-59.1,dB,,
Ref Position,1.00 ,,,
Range,100,dB,,
RF Attenuation,Manual,,,
RF Attenuator,0,dB,,
Pre-Amplifier,Off,,,
RF Input,50 Ω,,,
RBW,300000,Hz,,
VBW,3000,Hz,,
SWT,2.22,s,,
Trigger Mode,Free Run,,,
Trigger Level,- - -,,,
Trigger Delay,- - -,,,
Trace Mode,Average,,,
Trace Math,Trace - Mem,,,
Trace Detector,Sample,,,
Primary Transducer,- - -,,,
Secondary Transducer,- - -,,,
Isotropic Antenna,Off,,,
Average Count,Sweep 10 of 10,,,
Limit Line 1,- - -,,,
Result Limit Line 1,- - -,,,
Limit Line 2,- - -,,,
Result Limit Line 2,- - -,,,
Marker 1,374280879.9,Hz,,
Marker 1 Value,-111.71,dB,,
Marker 2,304754653.1,Hz,,
Marker 2 Value,-114.87,dB,,

Frequency [Hz],Magnitude [dBm],,,
0,-101.817771911621,,,
676818.950930626,-120.28776550293,,,
1353637.90186125,-120.331771850586,,,
2030456.85279188,-119.604843139648,,,
2707275.8037225,-120.688461303711,,,
3384094.75465313,-120.512802124023,,,
4060913.70558376,-120.615982055664,,,
4737732.65651438,-120.675109863281,,,
5414551.60744501,-120.814842224121,,,
6091370.55837563,-120.58967590332,,,
6768189.50930626,-120.340927124023,,,
7445008.46023689,-120.551345825195,,,
8121827.41116751,-120.677230834961,,,
8798646.36209814,-120.501136779785,,,
9475465.31302876,-120.806922912598,,,
10152284.2639594,-120.567054748535,,,
10829103.21489,-120.44100189209,,,
11505922.1658206,-120.223793029785,,,
12182741.1167513,-120.315689086914,,,
12859560.0676819,-120.571022033691,,,
13536379.0186125,-120.750015258789,,,
14213197.9695431,-120.48210144043,,,
14890016.9204738,-120.485290527344,,,
15566835.8714044,-120.128402709961,,,
16243654.822335,-120.222549438477,,,
16920473.7732656,-120.710899353027,,,
17597292.7241963,-120.128555297852,,,
18274111.6751269,-120.455505371094,,,
18950930.6260575,-120.292053222656,,,
19627749.5769882,-120.191078186035,,,
20304568.5279188,-120.210487365723,,,
20981387.4788494,-120.236549377441,,,
21658206.42978,-120.407699584961,,,
22335025.3807107,-120.243240356445,,,
23011844.3316413,-120.307022094727,,,
23688663.2825719,-120.058456420898,,,
24365482.2335025,-120.484786987305,,,
25042301.1844332,-120.203079223633,,,
25719120.1353638,-120.008338928223,,,
26395939.0862944,-120.295394897461,,,
27072758.037225,-120.228897094727,,,
27749576.9881557,-120.36661529541,,,
28426395.9390863,-120.09211730957,,,
29103214.8900169,-119.816818237305,,,
29780033.8409475,-120.108215332031,,,
30456852.7918782,-119.907325744629,,,
31133671.7428088,-120.279251098633,,,
31810490.6937394,-120.095291137695,,,
32487309.64467,-120.191688537598,,,
33164128.5956007,-120.174331665039,,,
33840947.5465313,-120.152671813965,,,
34517766.4974619,-120.01318359375,,,
35194585.4483926,-120.200477600098,,,
35871404.3993232,-120.483627319336,,,
36548223.3502538,-120.451271057129,,,
37225042.3011844,-120.100708007813,,,
37901861.2521151,-120.366004943848,,,
38578680.2030457,-120.012268066406,,,
39255499.1539763,-120.240600585938,,,
39932318.1049069,-120.408004760742,,,
40609137.0558376,-120.293212890625,,,
41285956.0067682,-120.371887207031,,,
41962774.9576988,-120.163101196289,,,
42639593.9086294,-120.195457458496,,,
43316412.8595601,-120.383056640625,,,
43993231.8104907,-120.585189819336,,,
44670050.7614213,-120.300025939941,,,
45346869.7123519,-120.610092163086,,,
46023688.6632826,-120.144248962402,,,
46700507.6142132,-120.038047790527,,,
47377326.5651438,-120.524978637695,,,
48054145.5160744,-120.510276794434,,,
48730964.4670051,-120.110572814941,,,
49407783.4179357,-120.666000366211,,,
50084602.3688663,-120.399124145508,,,
50761421.319797,-120.400718688965,,,
51438240.2707276,-120.317588806152,,,
52115059.2216582,-120.250732421875,,,
