peak1_amp,peak2_amp,peak3_amp,peak1_freq,peak2_freq,peak3_freq,baseline,powerOf10PercentBeamSplitter(MicroWatt),peak1_area_W_Hz,peak2_area_W_Hz,peak3_area_W_Hz,peak1_width,peak2_width,peak3_width
,,,,,,,4.98,,,,2235747268.5498996,4497718969.444736,2159871540.9035516
,,,,,,,1111,,,,5854759555.504209,4742559293.473998,3297910436.986506
,,,,,,,3.72,,,,-2002764217.8784776,4267801255.816801,2155024878.2312126
,,,,,,,93.7,,,,2880376467.3731275,5272230672.876665,3251873636.8986115
,,,,,,,1217,,,,6505469067.740064,4490808006.925336,3327104790.337139
,,,,,,,940,,,,5019215031.475442,5023291549.449572,3357940762.1819654
,,,,,,,1453,,,,7892807014.227674,3801645517.7198553,3348790799.109048
,,,,,,,295.8,,,,3255243057.5254784,5342362764.148717,3332728960.366491
,,,,,,,834,,,,4552273914.337488,5144533391.610346,3338738515.639952
,,,,,,,1506,,,,8129767294.106207,3624718850.739416,3392185646.403445
,,,,,,,620.8,,,,3898033994.8874345,5272656729.819835,3387663290.8003855
,,,,,,,340.06,,,,3348234703.4393024,5371274474.10207,3339471464.421372
,,,,,,,42.33,,,,2768508826.027362,5135983896.05062,2997025035.663291
,,,,,,,237.7,,,,3162288114.6315484,5348633122.548981,3363736354.348568
,,,,,,,192.3,,,,3192390324.9729137,5399467742.019506,3394324298.4955287
,,,,,,,1371,,,,7449336403.391345,4048910078.3722043,3347982729.1114235
,,,,,,,543.6,,,,3676597243.860981,5329351516.74013,3306488015.5351205
,,,,,,,124.7,,,,3014170898.752188,5317209695.835777,3158469251.298202
,,,,,,,2.66,,,,-1905354410.9926248,4202813244.3973064,-1951042644.0232062
,,,,,,,7.02,,,,2241059160.438492,4622424024.250606,2328050743.492441
,,,,,,,22.39,,,,2596124583.924873,4956132896.859072,2671432054.212781
,,,,,,,9.32,,,,2429136951.211736,4662381558.348188,2255105123.757301
,,,,,,,1506,,,,8134767179.014217,3608839822.6737556,3392394165.585599
,,,,,,,453.6,,,,3553626790.0691195,5353886190.263872,3320757989.1174865
,,,,,,,12.04,,,,2301399082.4874277,4741355231.289546,2415791867.6482673
