peak1_amp,peak2_amp,peak3_amp,peak1_freq,peak2_freq,peak3_freq,baseline,powerOf10PercentBeamSplitter(MicroWatt)
16.589676529848663,39.85892485870584,16.637312732321703,193394001662697.53,193405399176875.16,193416622184683.56,-87.50304463449196,4.98
53.34475712433537,43.07024404166683,22.720143849688743,193393887385778.5,193406156762985.22,193416990187429.88,-79.02299489549989,1111
16.04925021017736,38.473279442557434,15.7238760737563,193394065441357.56,193405409182785.5,193416596620727.34,-87.2027925878861,3.72
26.280050729016647,49.609685373551876,24.170909927007365,193393834561039.7,193405410694731.22,193416945784816.3,-86.80256037897571,93.7
56.89345874573422,40.145408997489625,22.204934339049842,193393942997464.28,193406322240903.16,193416975639210.38,-78.40087168537424,1217
47.66141032996199,46.630065608166234,23.301811451974853,193393832520393.72,193405943472291.0,193417036717497.7,-80.01021044202221,940
62.68015476514663,32.26445440778504,19.289835899899153,193394181634048.22,193406662157282.28,193416928227026.16,-75.66706772679369,1453
30.36103339750774,51.058283658531735,24.7934049584409,193393782681431.03,193405460792559.38,193417000308290.53,-84.08797020340806,295.8
44.173942483094784,48.0749812931621,23.655683229562275,193393816561046.0,193405820495174.03,193417043794560.56,-80.4286638091042,834
63.83719452381749,30.23288260036891,18.449449508147058,193394231873166.72,193406691989607.47,193416895103855.75,-74.7942471754134,1506
37.79938901657875,49.94516535187695,23.99846628216072,193393830090045.28,193405649689017.1,193417050058269.4,-81.5341489291395,620.8
31.203656766625063,51.03225845446963,24.625191067808405,193393757627991.8,193405496046486.62,193417002003176.7,-83.70867158567653,340.06
24.22905239686538,48.00591998060502,23.210231737347545,193393851915705.47,193405381882233.84,193416843690924.44,-88.08589423148948,42.33
29.34369545086919,50.993156799381964,24.778195587211297,193393787790217.9,193405445613156.75,193416995224902.84,-84.79918468621453,237.7
28.612049030969853,50.981513059876036,24.957475123507457,193393780368580.66,193405451483471.72,193417023172447.88,-85.83454394230844,192.3
61.01549807017932,35.03296115248351,20.55860361155738,193394087523812.03,193406542311473.12,193416941769944.47,-76.83106631076103,1371
35.65076930861509,50.51074549554159,24.1434951956223,193393793821718.94,193405595991476.5,193417030801100.97,-81.91972577839567,543.6
26.77881406296236,49.946877918134724,24.32119706089921,193393801656822.78,193405435531885.06,193416958666200.0,-86.03172401556134,124.7
14.90576375078482,37.58582738844168,14.809100110110236,193394100564693.62,193405373681539.6,193416478697290.72,-87.31879485691891,2.66
17.880925607419815,41.2061561698941,17.70927461532795,193394013480205.2,193405385529632.97,193416672867588.72,-87.58072788613225,7.02
21.793744378322717,45.56481374048431,21.234999695359313,193393928238940.94,193405426800990.47,193416761191626.44,-87.69266988327334,22.39
18.572497830376104,42.22444450949968,18.725930727236854,193393976457925.53,193405422783458.78,193416637270385.72,-87.4560361414396,9.32
64.0573442157165,29.896299610233623,18.32692399417675,193394268853186.22,193406710823440.72,193416902454175.28,-74.62894134064149,1506
33.39224593747972,50.72878366690532,24.335863202562816,193393800803552.47,193405547767150.53,193417022856605.56,-82.63484906841416,453.6
19.677590223465277,43.071184744267796,19.323553479668483,193394021036764.78,193405409552074.9,193416694421424.2,-87.35118502563033,12.04
