Name,Sweep (T1),,,
Date,18/07/2025,,,
Time,18:46:45,,,
Instrument,FPC1000 - 101497/002,,,
Firmware Version,V1.10,,,
Instrument Mode,Spectrum Analyzer,,,
Meas Mode,Spectrum,,,
Uplink,- - -,,,
Downlink,- - -,,,
Channel,- - -,,,
Center Frequency,400000000,Hz,,
Frequency Offset,0,Hz,,
Span,800000000,Hz,,
Ref Level,-46.4,dBm,,
Ref Offset,-7,dB,,
Ref Position,1.00,,,
Range,20,dB,,
RF Attenuation,Manual,,,
RF Attenuator,0,dB,,
Pre-Amplifier,Off,,,
RF Input,50 Ω,,,
RBW,1000000,Hz,,
VBW,3000,Hz,,
SWT,0.667,s,,
Trigger Mode,Free Run,,,
Trigger Level,- - -,,,
Trigger Delay,- - -,,,
Trace Mode,Average,,,
Trace Math,Off,,,
Trace Detector,Sample,,,
Primary Transducer,- - -,,,
Secondary Transducer,- - -,,,
Isotropic Antenna,Off,,,
Limit Line 1,- - -,,,
Result Limit Line 1,- - -,,,
Limit Line 2,- - -,,,
Result Limit Line 2,- - -,,,
Marker 1,240287598.8,Hz,,
Marker 1 Value,-57.31,dBm,,

Frequency [Hz],Magnitude [dBm],,,
0,-15.2479343414307,,,
676818.950930626,-55.5834121704102,,,
1353637.90186125,-58.7305488586426,,,
2030456.85279188,-60.4331741333008,,,
2707275.8037225,-59.5107192993164,,,
3384094.75465313,-60.6549339294434,,,
4060913.70558376,-59.428035736084,,,
4737732.65651438,-59.5599517822266,,,
5414551.60744501,-59.6366653442383,,,
6091370.55837563,-60.0745468139648,,,
6768189.50930626,-60.4762916564941,,,
7445008.46023689,-59.3019256591797,,,
8121827.41116751,-59.9998970031738,,,
8798646.36209814,-59.7392768859863,,,
9475465.31302876,-60.0800590515137,,,
10152284.2639594,-60.7326889038086,,,
10829103.21489,-59.324405670166,,,
11505922.1658206,-59.8353881835938,,,
12182741.1167513,-59.5432510375977,,,
12859560.0676819,-59.510814666748,,,
13536379.0186125,-59.8040924072266,,,
14213197.9695431,-59.1002998352051,,,
14890016.9204738,-59.3711318969727,,,
