Parameter,Value
x01,204822792.4000212
g1,18813234.071076967
A1,10.319800355369038
x02,278813992.0537826
g2,11407269.499702003
A2,1.6812738599133696
x03,357640993.71988875
g3,5596144.219137273
A3,0.860024597590352
y0,-59.29343256986325
