peak1_amp,peak2_amp,peak3_amp,peak4_amp,peak5_amp,peak6_amp,peak1_freq,peak2_freq,peak3_freq,peak4_freq,peak5_freq,peak6_freq,baseline,powerOf10PercentBeamSplitter(MicroWatt),peak1_area_W_Hz,peak2_area_W_Hz,peak3_area_W_Hz,peak4_area_W_Hz,peak5_area_W_Hz,peak6_area_W_Hz
3.9790307246509533,3.599432600395252,9.234438688682493,7.588081397396678,28.103642291383288,17.046335678134863,67578026.02141425,146840168.06411108,226323222.2735611,298177521.6098354,375132492.9392284,752885822.7759597,-116.23868369496557,1446microWatts,2.1484641580732522e-07,3.3155831871213445e-07,1.776888493768463e-06,2.66725039623655e-06,6.531861355353967e-05,1.4670016056901102e-06
1.1653205624300493,1.7636838270702586,7.1005912898552666,8.12508683678262,25.69787697567873,-6.492380202350672,65619458.98708012,144632480.799176,223093920.72653407,296460225.1462717,373735396.4704475,745448686.9085243,-112.21042179643007,907microWatts,2.540965644760479e-08,1.2633082520373696e-07,1.3676843544754083e-06,3.1320811557265594e-06,6.03285775473521e-05,-2.3423006190511274e-07
1.5450727380803126,2.0790380112718436,7.198225521601004,8.054977057468946,24.785927215530602,-5.876050155130733,78851250.75137606,157916555.25843653,235869435.2005453,309687431.88812715,387610255.4066638,741174120.7969472,-113.11535225227071,798microWatts,4.739879546596541e-08,1.4404757670598634e-07,1.2533315859534324e-06,2.82965301059235e-06,4.5861959782506096e-05,-1.9321433761273117e-07
1.501384268653322,1.9606983783216267,6.7114887664714855,7.219826669016216,21.07960820276824,-4.700500742042288,77215778.96587756,157456271.9030808,234517285.7404539,308526013.89696103,387094677.9229195,747592236.5093514,-115.69677395911135,421microWatts,3.1198010390197436e-08,8.426189050016682e-08,6.263564456871506e-07,1.329398324362709e-06,1.3211998357746496e-05,-8.171975466065167e-08
1.482988850146116,1.2458349464218221,3.673262551047572,4.8592445743987875,13.471417486438144,0.9293553485719712,81666342.82523473,161982521.63168374,238589144.17569265,315209735.67525804,389523424.9983061,443340682.6677213,-121.21943207475772,38.05microWatts,4.178678167529455e-08,9.887498864217521e-08,8.451458446743708e-07,9.531238979120069e-08,9.05262320500695e-09,3.4513917758416932e-09
1.4587647987245298,1.7144091703831699,5.880817156908937,6.595149004976183,18.365961419873624,-3.029183699437667,81909080.80631723,160976094.64926955,238819441.09830555,312755785.89471376,391041887.1692291,741484213.0592012,-118.01102058544342,190.1microWatts,2.3114513754159036e-08,4.437105921307055e-08,2.9012753764360213e-07,6.053772302072554e-07,4.641045899473332e-06,-3.801559741443065e-08
1.0226018637562726,1.2557751166942335,4.764313375472212,5.805157627197633,16.204238812435594,-1.9974658667966882,80212981.7975223,159742876.8837114,237503651.0153723,312786338.32708293,389911873.1604395,701317886.6926479,-119.20106423160452,95.4microWatts,1.3561140441163128e-08,2.315316462138369e-08,1.4030507666996518e-07,3.046777277085747e-07,2.1070424732850085e-06,-3.2290844759630097e-08
0.3014809804386539,0.33909826114768654,0.40442955650010987,0.9560994788386665,4.56155894143388,-700.0215914680756,97439025.7698006,167396686.83252588,239987419.12357572,316790606.66204673,390000720.3801293,351577834.2187426,578.7051075999964,2.662microWatts,-1.2986906975580362e+62,-5.096674368966432e+62,-5.528263422535566e+62,-4.425749567508959e+62,-5.080980221563921e+62,-1.7777545470197772e+63
1.4847374313505357,2.1081628653103914,7.001374324139485,7.7342945717760765,23.516526379271216,-5.63133211794445,75785776.36127473,155815789.32169953,233391677.32300106,307013697.54844403,385328303.27846915,748242605.2387997,-114.07499744874873,655microWatts,3.8151097913921455e-08,1.1620792076125173e-07,9.607542044363502e-07,2.1324385299261518e-06,2.9194586577235923e-05,-1.3276629131737688e-07
1.2187439229100656,1.845038781174356,7.165328701320559,8.151818631813597,26.02706833925458,-5.982872031102115,68171189.18577915,148131084.1373884,225797468.33219415,299592763.7188542,376561514.89435655,723848157.0953156,-111.89313342687308,1038microWatts,3.257217760646409e-08,1.4488492958970272e-07,1.5295532707015307e-06,3.4947105624130825e-06,7.090154097064301e-05,-3.328874096952603e-07
1.1720451731760284,1.7706562229278282,7.269220234615142,8.129590289199225,26.07646241199671,-5.772140628389664,67976217.50272846,147384609.9526802,225827405.1228996,299443772.1348264,376148242.3859734,711350272.5829386,-111.73253437239414,1108microWatts,3.5592956499701025e-08,1.4709480550011312e-07,1.6253393305120436e-06,3.6149455649909815e-06,7.493074708121952e-05,-3.8761934121022613e-07
4.511310762948061,4.052885526632132,9.615492054252497,8.000949801592364,27.83355703905144,8.531524652540964,67229028.74893966,146137198.62912267,226085583.47671548,297914998.5207168,376250633.7698626,752598415.3345584,-116.39462400756034,1235microWatts,2.7296361774598543e-07,4.354654641873914e-07,2.130074241348174e-06,3.4318255020267733e-06,6.580876203103062e-05,2.2432836983027428e-07
0.4404793630956308,0.56489159572434,1.2357267923959978,2.020518267793375,7.4745567624932825,-588.1670940959707,97144414.91274732,169017322.29728737,242029080.95624006,318202332.49295783,391960894.66903853,328872348.5352941,466.54076348580594,6.76microWatts,-6.375619858970104e+50,-3.19015390737438e+51,-3.079986946575999e+51,-3.1690581063704354e+51,-3.0237314772321454e+51,-1.0322878624597182e+52
4.371448176621227,3.9062452224561404,9.536077317656101,7.848599777288846,27.817136744866104,13.065711449123523,67640178.63443768,146861056.73382702,226899098.56036857,298336693.67950964,376241451.2753103,753457350.490345,-116.26436428162178,1351microWatts,2.582824457643745e-07,4.0613555267331276e-07,2.046431046103665e-06,3.162142135405513e-06,6.531805318547652e-05,6.153402472243004e-07
