"Channel 1!!!_x","Channel 1!!!_y"
601,1.123882662,
602,1.150964172,
603,1.069719642,
604,1.150964172,
605,1.150964172,
606,1.137423417,
607,1.218667947,
608,1.015556622,
609,1.381157006,
610,1.326993986,
611,1.232208702,
612,1.218667947,
613,1.164504927,
614,1.002015867,
615,1.150964172,
616,1.367616251,
617,1.083260397,
618,0.9884751123,
619,1.137423417,
620,1.150964172,
621,1.286371721,
622,1.218667947,
623,1.123882662,
624,1.272830967,
625,1.069719642,
626,1.245749457,
627,1.394697761,
628,1.123882662,
629,1.083260397,
630,0.9749343573,
631,1.164504927,
632,1.137423417,
633,0.9884751123,
634,1.259290212,
635,1.150964172,
636,1.313453231,
637,1.002015867,
638,1.029097377,
639,1.232208702,
640,1.083260397,
641,1.042638132,
642,1.232208702,
643,1.259290212,
644,1.083260397,
645,1.299912476,
646,1.056178887,
647,1.096801152,
648,1.367616251,
649,1.367616251,
650,0.9072305825,
651,0.9613936024,
652,1.069719642,
653,1.245749457,
654,1.110341907,
655,1.164504927,
656,1.178045682,
657,1.178045682,
658,1.002015867,
659,1.150964172,
660,1.123882662,
661,1.042638132,
662,1.286371721,
663,1.178045682,
664,1.313453231,
665,0.8936898276,
666,1.083260397,
667,1.205127192,
668,1.110341907,
669,1.191586437,
670,1.110341907,
671,1.313453231,
672,1.110341907,
673,1.123882662,
674,1.218667947,
675,1.272830967,
676,1.056178887,
677,0.9613936024,
678,0.8530675627,
679,1.110341907,
680,1.083260397,
681,1.218667947,
682,1.299912476,
683,1.137423417,
684,1.191586437,
685,1.164504927,
686,1.069719642,
687,1.150964172,
688,1.191586437,
689,1.245749457,
690,1.056178887,
691,1.096801152,
692,1.110341907,
693,1.164504927,
694,1.083260397,
695,1.042638132,
696,1.259290212,
697,1.164504927,
698,1.002015867,
699,1.164504927,
700,1.178045682,
701,1.232208702,
702,1.056178887,
703,1.232208702,
704,1.015556622,
705,0.9478528474,
706,1.002015867,
707,1.178045682,
708,1.367616251,
709,0.9343120924,
710,1.110341907,
711,1.205127192,
712,1.137423417,
713,1.110341907,
714,1.286371721,
715,1.056178887,
716,1.069719642,
717,1.313453231,
718,1.205127192,
719,0.9613936024,
720,1.096801152,
721,0.9207713375,
722,1.150964172,
723,0.9613936024,
724,1.096801152,
725,1.110341907,
726,1.069719642,
727,1.299912476,
728,1.245749457,
729,1.232208702,
730,0.8801490726,
731,1.029097377,
732,0.8801490726,
733,1.232208702,
734,1.286371721,
735,1.191586437,
736,1.205127192,
737,1.029097377,
738,1.083260397,
739,1.150964172,
740,1.123882662,
741,1.164504927,
742,1.056178887,
743,1.083260397,
744,1.313453231,
745,1.245749457,
746,1.110341907,
747,1.083260397,
748,1.002015867,
749,1.421779271,
750,0.8666083176,
751,1.232208702,
752,0.9884751123,
753,1.150964172,
754,0.9749343573,
755,1.002015867,
756,1.272830967,
757,1.245749457,
758,1.096801152,
759,1.326993986,
760,1.056178887,
761,1.002015867,
762,1.123882662,
763,1.299912476,
764,1.178045682,
765,1.096801152,
766,1.083260397,
767,1.123882662,
768,0.9613936024,
769,1.164504927,
770,1.069719642,
771,1.123882662,
772,1.462401536,
773,1.178045682,
774,0.9207713375,
775,1.272830967,
776,1.042638132,
777,1.056178887,
778,0.9343120924,
779,1.205127192,
780,0.9072305825,
781,1.110341907,
782,0.9884751123,
783,1.137423417,
784,1.232208702,
785,1.286371721,
786,1.096801152,
787,1.326993986,
788,1.259290212,
789,1.137423417,
790,1.083260397,
791,1.137423417,
792,1.259290212,
793,1.123882662,
794,1.191586437,
795,1.164504927,
796,1.232208702,
797,1.042638132,
798,1.286371721,
799,0.9884751123,
800,1.137423417,
801,1.191586437,
802,1.164504927,
803,1.069719642,
804,1.110341907,
805,1.178045682,
806,1.218667947,
807,1.123882662,
808,1.178045682,
809,1.042638132,
810,1.232208702,
811,0.9884751123,
812,0.9884751123,
813,1.354075496,
814,1.245749457,
815,1.435320026,
816,1.259290212,
817,1.164504927,
818,1.299912476,
819,1.191586437,
820,0.9478528474,
821,1.286371721,
822,1.096801152,
823,1.218667947,
824,1.205127192,
825,1.042638132,
826,1.259290212,
827,0.9478528474,
828,1.164504927,
829,1.164504927,
830,1.354075496,
831,1.123882662,
832,1.123882662,
833,1.435320026,
834,1.205127192,
835,1.313453231,
836,1.272830967,
837,1.178045682,
838,1.137423417,
839,1.191586437,
840,0.9072305825,
841,1.123882662,
842,1.123882662,
843,1.015556622,
844,1.029097377,
845,1.042638132,
846,1.150964172,
847,1.178045682,
848,1.313453231,
849,1.218667947,
850,1.313453231,
851,0.9749343573,
852,1.042638132,
853,1.056178887,
854,1.205127192,
855,1.110341907,
856,1.218667947,
857,1.069719642,
858,1.367616251,
859,1.367616251,
860,1.110341907,
861,1.205127192,
862,1.408238516,
863,1.272830967,
864,1.137423417,
865,1.232208702,
866,1.096801152,
867,1.137423417,
868,0.9072305825,
869,1.245749457,
870,1.096801152,
871,1.313453231,
872,0.8936898276,
873,1.096801152,
874,1.164504927,
875,1.042638132,
876,1.083260397,
877,1.056178887,
878,1.286371721,
879,1.123882662,
880,1.069719642,
881,1.245749457,
882,0.8395268077,
883,1.191586437,
884,1.083260397,
885,1.408238516,
886,1.110341907,
887,1.218667947,
888,1.272830967,
889,1.056178887,
890,1.029097377,
891,0.9884751123,
892,1.259290212,
893,1.150964172,
894,1.205127192,
895,0.9749343573,
896,1.096801152,
897,1.232208702,
898,1.150964172,
899,1.340534741,
900,0.9478528474,
901,1.002015867,
902,1.015556622,
903,1.299912476,
904,1.313453231,
905,1.259290212,
906,1.123882662,
907,1.042638132,
908,1.218667947,
909,1.178045682,
910,0.9478528474,
911,1.218667947,
912,1.164504927,
913,1.056178887,
914,1.164504927,
915,1.110341907,
916,1.367616251,
917,1.164504927,
918,1.205127192,
919,1.245749457,
920,1.096801152,
921,1.029097377,
922,1.232208702,
923,1.150964172,
924,1.191586437,
925,1.110341907,
926,1.245749457,
927,1.056178887,
928,1.002015867,
929,1.164504927,
930,1.110341907,
931,1.259290212,
932,1.245749457,
933,1.096801152,
934,1.326993986,
935,1.056178887,
936,1.245749457,
937,1.340534741,
938,0.9749343573,
939,1.042638132,
940,1.150964172,
941,0.9343120924,
942,1.056178887,
943,1.056178887,
944,1.137423417,
945,0.9478528474,
946,1.178045682,
947,1.029097377,
948,1.205127192,
949,1.083260397,
950,0.9884751123,
951,1.110341907,
952,1.367616251,
953,1.205127192,
954,1.313453231,
955,1.096801152,
956,1.299912476,
957,1.340534741,
958,1.191586437,
959,1.245749457,
960,1.069719642,
961,1.191586437,
962,1.259290212,
963,1.205127192,
964,1.137423417,
965,1.123882662,
966,1.394697761,
967,1.110341907,
968,0.8530675627,
969,1.259290212,
970,1.002015867,
971,1.178045682,
972,1.150964172,
973,1.137423417,
974,1.042638132,
975,1.367616251,
976,1.326993986,
977,1.083260397,
978,1.029097377,
979,1.069719642,
980,0.9749343573,
981,1.096801152,
982,1.137423417,
983,1.259290212,
984,0.9749343573,
985,1.191586437,
986,1.137423417,
987,1.029097377,
988,1.056178887,
989,1.069719642,
990,1.123882662,
991,1.056178887,
992,1.123882662,
993,1.069719642,
994,1.150964172,
995,1.029097377,
996,1.259290212,
997,0.9478528474,
998,1.232208702,
999,1.218667947,
1000,1.002015867,
1001,1.218667947,
1002,1.083260397,
1003,1.110341907,
1004,1.123882662,
1005,1.205127192,
1006,1.326993986,
1007,1.123882662,
1008,1.002015867,
1009,1.015556622,
1010,1.123882662,
1011,1.123882662,
1012,1.232208702,
