fit_power_watt,frequency_Hz
1.1767455893140606e-09,34817408.70435218
1.1767457631522764e-09,35217608.8044022
1.1767459376387807e-09,35617808.90445223
1.1767461127768033e-09,36018009.00450225
1.1767462885695933e-09,36418209.10455228
1.1767464650204096e-09,36818409.2046023
1.1767466421325496e-09,37218609.304652326
1.1767468199093151e-09,37618809.40470235
1.1767469983540375e-09,38019009.504752375
1.1767471774700668e-09,38419209.6048024
1.1767473572607822e-09,38819409.70485243
1.1767475377295628e-09,39219609.80490246
1.1767477188798263e-09,39619809.90495248
1.1767479007150096e-09,40020010.005002506
1.1767480832385784e-09,40420210.10505253
1.1767482664539938e-09,40820410.205102555
1.1767484503647647e-09,41220610.30515258
1.1767486349744198e-09,41620810.405202605
1.1767488202865017e-09,42021010.50525263
1.1767490063045675e-09,42421210.605302654
1.176749193032223e-09,42821410.70535268
1.1767493804730683e-09,43221610.8054027
1.1767495686307574e-09,43621810.90545273
1.1767497575089291e-09,44022011.00550275
1.1767499471112707e-09,44422211.10555278
1.1767501374415032e-09,44822411.2056028
1.1767503285033423e-09,45222611.30565283
1.1767505203005482e-09,45622811.40570285
1.176750712836894e-09,46023011.50575288
1.1767509061161924e-09,46423211.6058029
1.1767511001422608e-09,46823411.705852926
1.17675129491895e-09,47223611.80590296
1.1767514904501491e-09,47623811.90595298
1.176751686739743e-09,48024012.00600301
1.1767518837916692e-09,48424212.10605303
1.1767520816098796e-09,48824412.20610306
1.1767522801983506e-09,49224612.30615308
1.1767524795610818e-09,49624812.406203106
1.1767526797021027e-09,50025012.50625313
1.1767528806254804e-09,50425212.606303155
1.1767530823352876e-09,50825412.70635318
1.176753284835635e-09,51225612.806403205
1.1767534881306574e-09,51625812.90645323
1.1767536922245236e-09,52026013.006503254
1.1767538971214215e-09,52426213.10655328
1.176754102825563e-09,52826413.2066033
1.1767543093411985e-09,53226613.30665333
1.176754516672612e-09,53626813.40670335
1.176754724824088e-09,54027013.50675338
1.1767549337999634e-09,54427213.6068034
1.1767551436045949e-09,54827413.70685343
1.1767553542423767e-09,55227613.80690345
1.1767555657177187e-09,55627813.906953484
1.1767557780350734e-09,56028014.00700351
1.1767559911989078e-09,56428214.10705353
1.176756205213742e-09,56828414.20710356
1.1767564200840864e-09,57228614.30715358
1.1767566358145332e-09,57628814.40720361
1.1767568524096603e-09,58029014.50725363
