fit_power_dBm,frequency_Hz
-59.29062295773099,0.0
-59.290614888235545,400200.10005002504
-59.290606783945044,800400.2001000501
-59.29059864465927,1200600.300150075
-59.290590470176554,1600800.4002001001
-59.29058226029378,2001000.5002501253
-59.29057401480638,2401200.60030015
-59.29056573350828,2801400.700350175
-59.29055741619194,3201600.8004002003
-59.29054906264829,3601800.9004502255
-59.29054067266676,4002001.0005002506
-59.290532246035234,4402201.100550275
-59.29052378254008,4802401.2006003
-59.29051528196607,5202601.300650326
-59.29050674409643,5602801.40070035
-59.290498168712794,6003001.500750376
-59.29048955559519,6403201.600800401
-59.290480904522035,6803401.700850425
-59.29047221527013,7203601.800900451
-59.290463487614616,7603801.900950476
-59.29045472132899,8004002.001000501
-59.29044591618507,8404202.101050526
-59.290437071953,8804402.20110055
-59.290428188401194,9204602.301150575
-59.290419265296386,9604802.4012006
-59.29041030240356,10005002.501250627
-59.29040129948595,10405202.601300651
-59.290392256305026,10805402.701350676
-59.2903831726205,11205602.8014007
-59.290374048190266,11605802.901450725
-59.29036488277041,12006003.001500752
-59.29035567611522,12406203.101550777
-59.2903464279771,12806403.201600801
-59.290337138106615,13206603.301650826
-59.29032780625246,13606803.40170085
-59.29031843216143,14007003.501750877
-59.290309015578394,14407203.601800902
-59.29029955624632,14807403.701850927
-59.290290053906205,15207603.801900951
-59.29028050829711,15607803.901950976
-59.29027091915609,16008004.002001002
-59.290261286218225,16408204.102051027
-59.29025160921655,16808404.20210105
-59.290241887882075,17208604.302151076
-59.290232121943774,17608804.4022011
-59.29022231112853,18009004.502251126
-59.290212455161125,18409204.60230115
-59.29020255376426,18809404.702351175
-59.29019260665847,19209604.8024012
-59.29018261356216,19609804.90245123
-59.290172574191566,20010005.002501253
-59.29016248826073,20410205.102551278
-59.29015235548146,20810405.202601302
-59.29014217556338,21210605.302651327
-59.29013194821382,21610805.40270135
-59.290121673137854,22011005.502751376
-59.29011135003826,22411205.6028014
-59.290100978615506,22811405.702851426
-59.290090558567705,23211605.80290145
-59.29008008959064,23611805.90295148
-59.29006957137767,24012006.003001504
-59.290059003619795,24412206.10305153
-59.29004838600555,24812406.203101553
-59.290037718221065,25212606.303151578
-59.290026999949944,25612806.403201602
-59.290016230873334,26013006.503251627
-59.29000541066985,26413206.60330165
-59.28999453901557,26813406.703351676
-59.289983615583985,27213606.8034017
-59.28997264004601,27613806.903451726
-59.28996161206995,28014007.003501754
-59.28995053132145,28414207.10355178
-59.2899393974635,28814407.203601804
-59.28992821015638,29214607.30365183
-59.28991696905769,29614807.403701853
-59.28990567382224,30015007.503751878
-59.28989432410209,30415207.603801902
-59.28988291954652,30815407.703851927
-59.289871459801944,31215607.80390195
-59.28985994451196,31615807.903951976
-59.28984837331726,32016008.004002005
-59.28983674585565,32416208.10405203
-59.289825061761995,32816408.204102054
-59.28981332066818,33216608.30415208
-59.28980152220312,33616808.4042021
-59.28978966599268,34017008.50425213
-59.2897777516597,34417208.60430215
-59.28976577882392,34817408.70435218
-59.28975374710197,35217608.8044022
-59.289741656107346,35617808.90445223
-59.28972950545037,36018009.00450225
-59.28971729473813,36418209.10455228
-59.28970502357452,36818409.2046023
-59.289692691560134,37218609.304652326
-59.28968029829228,37618809.40470235
-59.28966784336493,38019009.504752375
-59.28965532636868,38419209.6048024
-59.28964274689073,38819409.70485243
-59.28963010451485,39219609.80490246
-59.28961739882133,39619809.90495248
-59.28960462938697,40020010.005002506
-59.289591795785014,40420210.10505253
-59.28957889758515,40820410.205102555
-59.28956593435345,41220610.30515258
-59.28955290565233,41620810.405202605
-59.28953981104052,42021010.50525263
-59.28952665007305,42421210.605302654
-59.28951342230117,42821410.70535268
-59.28950012727234,43221610.8054027
-59.289486764530196,43621810.90545273
-59.28947333361448,44022011.00550275
-59.289459834061034,44422211.10555278
