fit_power_dBm,frequency_Hz
-59.2931420260736,53226613.30665333
-59.29314126089367,53626813.40670335
-59.293140492687314,54027013.50675338
-59.293139721438564,54427213.6068034
-59.29313894713132,54827413.70685343
-59.29313816974939,55227613.80690345
-59.29313738927649,55627813.906953484
-59.293136605696205,56028014.00700351
-59.29313581899202,56428214.10705353
-59.2931350291473,56828414.20710356
-59.29313423614533,57228614.30715358
-59.293133439969246,57628814.40720361
-59.29313264060209,58029014.50725363
-59.29313183802679,58429214.60730366
-59.29313103222615,58829414.70735368
-59.29313022318288,59229614.807403706
-59.29312941087955,59629814.90745373
-59.29312859529863,60030015.007503755
-59.293127776422466,60430215.10755378
-59.29312695423328,60830415.207603805
-59.293126128713176,61230615.30765383
-59.29312529984414,61630815.407703854
-59.293124467608045,62031015.50775388
-59.29312363198662,62431215.6078039
-59.29312279296148,62831415.70785393
-59.29312195051413,63231615.80790395
-59.29312110462592,63631815.90795398
-59.2931202552781,64032016.00800401
-59.293119402451765,64432216.108054034
-59.29311854612792,64832416.20810406
-59.293117686287395,65232616.308154084
-59.293116822910925,65632816.40820411
-59.29311595597909,66033016.50825413
-59.293115085472344,66433216.60830416
-59.29311421137101,66833416.70835418
-59.29311333365528,67233616.8084042
-59.29311245230518,67633816.90845422
-59.293111567300635,68034017.00850426
-59.29311067862142,68434217.10855429
-59.29310978624715,68834417.2086043
-59.29310889015732,69234617.30865434
-59.293107990331286,69634817.40870436
-59.29310708674825,70035017.50875439
-59.29310617938726,70435217.6088044
-59.29310526822723,70835417.70885444
-59.29310435324693,71235617.80890445
-59.29310343442498,71635817.90895449
-59.29310251173983,72036018.0090045
-59.293101585169815,72436218.10905454
-59.293100654693085,72836418.20910455
-59.29309972028765,73236618.30915459
-59.29309878193137,73636818.4092046
-59.29309783960194,74037018.50925463
-59.2930968932769,74437218.60930465
-59.29309594293364,74837418.70935468
-59.29309498854938,75237618.8094047
-59.29309403010116,75637818.90945473
-59.2930930675659,76038019.00950475
-59.29309210092032,76438219.10955478
-59.29309113014099,76838419.2096048
-59.29309015520431,77238619.30965483
-59.29308917608652,77638819.40970486
-59.29308819276366,78039019.50975488
-59.29308720521164,78439219.60980491
-59.29308621340616,78839419.70985493
-59.293085217322776,79239619.80990496
-59.29308421693684,79639819.90995498
-59.29308321222355,80040020.01000501
-59.29308220315791,80440220.11005503
-59.29308118971475,80840420.21010506
-59.293080171868716,81240620.31015508
-59.29307914959427,81640820.41020511
-59.29307812286569,82041020.51025513
-59.29307709165706,82441220.61030516
-59.293076055942294,82841420.71035518
-59.29307501569509,83241620.81040521
-59.293073970888976,83641820.91045523
-59.29307292149727,84042021.01050526
-59.293071867493104,84442221.11055528
-59.29307080884942,84842421.21060531
-59.293069745538936,85242621.31065533
-59.2930686775342,85642821.41070536
-59.29306760480753,86043021.51075539
-59.29306652733107,86443221.6108054
-59.29306544507673,86843421.71085544
-59.29306435801622,87243621.81090546
-59.293063266121045,87643821.91095549
-59.29306216936251,88044022.0110055
-59.293061067711676,88444222.11105554
-59.29305996113942,88844422.21110556
-59.29305884961638,89244622.31115559
-59.29305773311299,89644822.4112056
-59.293056611599454,90045022.51125564
-59.293055485045755,90445222.61130565
-59.293054353421645,90845422.71135569
-59.29305321669666,91245622.8114057
-59.29305207484011,91645822.91145574
-59.29305092782105,92046023.01150575
-59.29304977560833,92446223.11155578
-59.293048618170545,92846423.2116058
-59.29304745547606,93246623.31165583
-59.29304628749299,93646823.41170585
-59.29304511418923,94047023.51175588
-59.293043935532424,94447223.61180592
-59.29304275148995,94847423.71185593
-59.293041562028954,95247623.81190597
-59.293040367116326,95647823.91195598
-59.293039166718714,96048024.01200601
-59.2930379608025,96448224.11205603
-59.2930367493338,96848424.21210606
-59.29303553227849,97248624.31215608
-59.29303430960216,97648824.41220611
-59.29303308127017,98049024.51225613
-59.29303184724756,98449224.61230616
-59.293030607499155,98849424.71235618
-59.29302936198947,99249624.81240621
-59.29302811068276,99649824.91245623
-59.293026853543,100050025.01250626
-59.29302559053389,100450225.11255628
-59.29302432161883,100850425.21260631
-59.29302304676095,101250625.31265633
-59.29302176592309,101650825.41270636
-59.293020479067806,102051025.51275638
-59.29301918615734,102451225.61280641
-59.293017887153646,102851425.71285644
-59.293016582018396,103251625.81290646
-59.29301527071293,103651825.91295649
-59.29301395319831,104052026.01300651
-59.293012629435275,104452226.11305654
-59.293011299384254,104852426.21310656
-59.293009963005375,105252626.31315659
-59.293008620258426,105652826.4132066
-59.29300727110291,106053026.51325664
-59.293005915497965,106453226.61330666
-59.29300455340244,106853426.71335669
-59.29300318477484,107253626.8134067
-59.293001809573326,107653826.91345674
-59.29300042775574,108054027.01350676
-59.29299903927959,108454227.11355679
-59.29299764410203,108854427.2136068
-59.292996242179875,109254627.31365684
-59.29299483346958,109654827.41370685
-59.292993417927256,110055027.51375689
-59.29299199550867,110455227.6138069
-59.292990566169216,110855427.71385694
-59.29298912986393,111255627.81390697
-59.292987686547484,111655827.91395698
-59.29298623617418,112056028.01400702
-59.29298477869794,112456228.11405703
-59.29298331407233,112856428.21410707
-59.292981842250505,113256628.31415708
-59.292980363185265,113656828.41420712
-59.292978876829004,114057028.51425713
-59.29297738313373,114457228.61430717
-59.29297588205106,114857428.71435718
-59.2929743735322,115257628.81440721
-59.29297285752797,115657828.91445723
-59.29297133398877,116058029.01450726
-59.29296980286458,116458229.11455728
-59.292968264105,116858429.21460731
-59.29296671765916,117258629.31465733
-59.29296516347581,117658829.41470736
-59.29296360150325,118059029.51475738
-59.292962031689356,118459229.61480741
-59.29296045398155,118859429.71485743
-59.29295886832684,119259629.81490746
-59.29295727467177,119659829.9149575
-59.29295567296244,120060030.01500751
-59.29295406314449,120460230.11505754
-59.29295244516311,120860430.21510756
-59.29295081896302,121260630.31515759
-59.29294918448847,121660830.41520761
-59.29294754168324,122061030.51525764
-59.29294589049063,122461230.61530766
-59.29294423085345,122861430.71535769
-59.292942562714046,123261630.81540771
-59.29294088601424,123661830.91545774
-59.292939200695386,124062031.01550776
-59.2929375066983,124462231.11555779
-59.292935803963324,124862431.2156078
-59.292934092430265,125262631.31565784
-59.292932372038415,125662831.41570786
-59.292930642726546,126063031.51575789
-59.29292890443289,126463231.6158079
-59.29292715709517,126863431.71585794
-59.29292540065053,127263631.81590796
-59.2929236350356,127663831.91595799
-59.29292186018644,128064032.01600802
-59.292920076038556,128464232.11605804
-59.29291828252689,128864432.21610807
-59.29291647958582,129264632.31615809
-59.292914667149134,129664832.41620812
-59.292912845150056,130065032.51625814
-59.292911013521206,130465232.61630817
-59.29290917219462,130865432.71635818
-59.29290732110173,131265632.81640822
-59.292905460173365,131665832.91645823
-59.29290358933973,132066033.01650827
-59.29290170853042,132466233.11655828
-59.2928998176744,132866433.21660832
-59.2928979167,133266633.31665833
-59.29289600553492,133666833.41670837
-59.292894084106194,134067033.51675838
-59.29289215234022,134467233.6168084
-59.29289021016273,134867433.71685845
-59.29288825749878,135267633.81690845
-59.29288629427276,135667833.91695848
-59.29288432040837,136068034.0170085
-59.29288233582864,136468234.11705855
-59.29288034045586,136868434.21710858
-59.292878334211665,137268634.31715858
-59.29287631701694,137668834.4172086
-59.29287428879187,138069034.51725864
-59.292872249455904,138469234.61730868
-59.29287019892775,138869434.71735868
-59.29286813712539,139269634.8174087
-59.292866063966024,139669834.91745874
-59.29286397936612,140070035.01750877
-59.29286188324135,140470235.11755878
-59.292859775506635,140870435.2176088
-59.29285765607609,141270635.31765884
-59.292855524863036,141670835.41770887
-59.29285338178,142071035.51775888
-59.29285122673869,142471235.6178089
-59.29284905964999,142871435.71785894
-59.29284688042396,143271635.81790897
-59.2928446889698,143671835.91795897
-59.29284248519589,144072036.018009
-59.292840269009716,144472236.11805904
-59.29283804031793,144872436.21810907
-59.29283579902627,145272636.3181591
-59.29283354503962,145672836.4182091
-59.29283127826193,146073036.51825914
-59.29282899859626,146473236.61830917
-59.292826705944755,146873436.7183592
-59.29282440020861,147273636.8184092
-59.292822081288094,147673836.91845924
-59.29281974908252,148074037.01850927
-59.29281740349024,148474237.1185593
-59.292815044408634,148874437.2186093
-59.29281267173408,149274637.31865934
-59.292810285361995,149674837.41870937
-59.29280788518674,150075037.5187594
-59.2928054711017,150475237.6188094
-59.29280304299921,150875437.71885943
-59.29280060077056,151275637.81890947
-59.29279814430598,151675837.9189595
-59.29279567349466,152076038.0190095
-59.292793188224664,152476238.11905953
-59.29279068838299,152876438.21910957
-59.29278817385555,153276638.3191596
-59.29278564452709,153676838.4192096
-59.29278310028127,154077038.51925963
-59.292780541000575,154477238.61930966
-59.29277796656633,154877438.7193597
-59.29277537685871,155277638.81940973
-59.292772771756674,155677838.91945973
-59.29277015113801,156078039.01950976
-59.29276751487927,156478239.1195598
-59.2927648628558,156878439.21960983
-59.29276219494166,157278639.31965983
-59.292759511009685,157678839.41970986
-59.29275681093144,158079039.5197599
-59.29275409457716,158479239.61980993
-59.292751361815824,158879439.71985993
-59.292748612515055,159279639.81990996
-59.29274584654116,159679839.91996
-59.29274306375907,160080040.02001002
-59.29274026403237,160480240.12006003
-59.292737447223246,160880440.22011006
-59.29273461319248,161280640.3201601
-59.29273176179943,161680840.42021012
-59.29272889290203,162081040.52026013
-59.29272600635676,162481240.62031016
-59.29272310201859,162881440.7203602
-59.29272017974104,163281640.82041022
-59.2927172393761,163681840.92046025
-59.29271428077424,164082041.02051026
-59.292711303784365,164482241.1205603
-59.292708308253836,164882441.22061032
-59.29270529402841,165282641.32066035
-59.29270226095224,165682841.42071036
-59.29269920886786,166083041.5207604
-59.29269613761614,166483241.62081042
-59.2926930470363,166883441.72086045
-59.29268993696587,167283641.82091045
-59.29268680724066,167683841.9209605
-59.29268365769475,168084042.02101052
-59.29268048816047,168484242.12106055
-59.29267729846836,168884442.22111055
-59.29267408844719,169284642.32116058
-59.29267085792389,169684842.42121062
-59.292667606723526,170085042.52126065
-59.29266433466934,170485242.62131065
-59.29266104158263,170885442.72136068
-59.29265772728283,171285642.82141072
-59.29265439158739,171685842.92146075
-59.29265103431181,172086043.02151078
-59.29264765526959,172486243.12156078
-59.29264425427223,172886443.2216108
-59.29264083112916,173286643.32166085
-59.29263738564777,173686843.42171088
-59.29263391763331,174087043.52176088
-59.29263042688895,174487243.6218109
-59.29262691321566,174887443.72186095
