fit_power_watt,frequency_Hz
1.2003015444025171e-09,0.0
1.2003942820749984e-09,400200.10005002504
1.2004875671041298e-09,800400.2001000501
1.2005814038077661e-09,1200600.300150075
1.2006757965464338e-09,1600800.4002001001
1.2007707497238518e-09,2001000.5002501253
1.2008662677874407e-09,2401200.60030015
1.2009623552288403e-09,2801400.700350175
1.2010590165844337e-09,3201600.8004002003
1.201156256435902e-09,3601800.9004502255
1.2012540794107438e-09,4002001.0005002506
1.2013524901828513e-09,4402201.100550275
1.2014514934730663e-09,4802401.2006003
1.2015510940497079e-09,5202601.300650326
1.2016512967292043e-09,5602801.40070035
1.2017521063766466e-09,6003001.500750376
1.2018535279063769e-09,6403201.600800401
1.2019555662826046e-09,6803401.700850425
1.2020582265199902e-09,7203601.800900451
1.2021615136842925e-09,7603801.900950476
1.2022654328929746e-09,8004002.001000501
1.2023699893158472e-09,8404202.101050526
1.2024751881756968e-09,8804402.20110055
1.2025810347489705e-09,9204602.301150575
1.2026875343664042e-09,9604802.4012006
1.202794692413721e-09,10005002.501250627
1.202902514332301e-09,10405202.601300651
1.2030110056198647e-09,10805402.701350676
1.2031201718312015e-09,11205602.8014007
1.2032300185788535e-09,11605802.901450725
1.203340551533857e-09,12006003.001500752
1.2034517764264626e-09,12406203.101550777
1.2035636990468876e-09,12806403.201600801
1.2036763252460854e-09,13206603.301650826
1.2037896609364683e-09,13606803.40170085
1.2039037120927286e-09,14007003.501750877
1.2040184847526e-09,14407203.601800902
1.2041339850176793e-09,14807403.701850927
1.2042502190542211e-09,15207603.801900951
1.204367193093967e-09,15607803.901950976
1.204484913434996e-09,16008004.002001002
1.204603386442542e-09,16408204.102051027
1.2047226185498925e-09,16808404.20210105
1.2048426162592467e-09,17208604.302151076
1.2049633861425883e-09,17608804.4022011
1.2050849348426112e-09,18009004.502251126
1.2052072690736328e-09,18409204.60230115
1.2053303956225095e-09,18809404.702351175
1.2054543213495731e-09,19209604.8024012
1.205579053189622e-09,19609804.90245123
1.2057045981528667e-09,20010005.002501253
1.205830963325905e-09,20410205.102551278
1.205958155872758e-09,20810405.202601302
1.2060861830358706e-09,21210605.302651327
1.206215052137125e-09,21610805.40270135
1.2063447705789286e-09,22011005.502751376
1.206475345845252e-09,22411205.6028014
1.2066067855027098e-09,22811405.702851426
1.2067390972016766e-09,23211605.80290145
1.2068722886773724e-09,23611805.90295148
1.207006367751041e-09,24012006.003001504
1.2071413423310496e-09,24412206.10305153
1.2072772204141021e-09,24812406.203101553
1.2074140100863853e-09,25212606.303151578
1.2075517195248034e-09,25612806.403201602
1.2076903569981871e-09,26013006.503251627
1.207829930868552e-09,26413206.60330165
1.207970449592338e-09,26813406.703351676
1.2081119217217214e-09,27213606.8034017
1.2082543559058987e-09,27613806.903451726
1.2083977608924088e-09,28014007.003501754
1.208542145528496e-09,28414207.10355178
1.208687518762462e-09,28814407.203601804
1.2088338896450492e-09,29214607.30365183
1.2089812673308972e-09,29614807.403701853
1.2091296610799117e-09,30015007.503751878
1.2092790802587566e-09,30415207.603801902
1.209429534342347e-09,30815407.703851927
1.209581032915313e-09,31215607.80390195
1.2097335856735782e-09,31615807.903951976
1.2098872024258887e-09,32016008.004002005
1.2100418930953688e-09,32416208.10405203
1.2101976677211842e-09,32816408.204102054
1.2103545364601253e-09,33216608.30415208
1.2105125095882822e-09,33616808.4042021
1.2106715975027333e-09,34017008.50425213
1.2108318107232624e-09,34417208.60430215
1.2109931598940843e-09,34817408.70435218
1.211155655785649e-09,35217608.8044022
1.2113193092963956e-09,35617808.90445223
1.2114841314546211e-09,36018009.00450225
1.211650133420334e-09,36418209.10455228
1.2118173264871411e-09,36818409.2046023
1.2119857220841726e-09,37218609.304652326
1.2121553317780385e-09,37618809.40470235
1.212326167274826e-09,38019009.504752375
1.2124982404221147e-09,38419209.6048024
1.2126715632110387e-09,38819409.70485243
1.2128461477783842e-09,39219609.80490246
1.2130220064087065e-09,39619809.90495248
1.213199151536504e-09,40020010.005002506
1.2133775957484212e-09,40420210.10505253
1.2135573517855002e-09,40820410.205102555
1.2137384325454145e-09,41220610.30515258
1.213920851084848e-09,41620810.405202605
1.2141046206218168e-09,42021010.50525263
1.2142897545380699e-09,42421210.605302654
1.214476266381535e-09,42821410.70535268
1.2146641698688222e-09,43221610.8054027
1.2148534788877012e-09,43621810.90545273
1.2150442074997423e-09,44022011.00550275
1.2152363699428565e-09,44422211.10555278
1.215429980634024e-09,44822411.2056028
1.215625054171962e-09,45222611.30565283
1.215821605339897e-09,45622811.40570285
1.2160196491083725e-09,46023011.50575288
1.2162192006381133e-09,46423211.6058029
1.2164202752829046e-09,46823411.705852926
1.216622888592586e-09,47223611.80590296
1.216827056316035e-09,47623811.90595298
1.2170327944042583e-09,48024012.00600301
1.2172401190134946e-09,48424212.10605303
1.2174490465084035e-09,48824412.20610306
1.2176595934653013e-09,49224612.30615308
1.2178717766754504e-09,49624812.406203106
1.2180856131484142e-09,50025012.50625313
