fit_power_watt,frequency_Hz
1.1777062763571423e-09,39219609.80490246
1.1777097218526638e-09,39619809.90495248
1.1777131846433982e-09,40020010.005002506
1.1777166648452393e-09,40420210.10505253
1.1777201625750313e-09,40820410.205102555
1.177723677950608e-09,41220610.30515258
1.1777272110907836e-09,41620810.405202605
1.1777307621153813e-09,42021010.50525263
1.177734331145243e-09,42421210.605302654
1.1777379183022146e-09,42821410.70535268
1.1777415237091948e-09,43221610.8054027
1.1777451474900959e-09,43621810.90545273
1.1777487897699166e-09,44022011.00550275
1.1777524506746942e-09,44422211.10555278
1.1777561303315514e-09,44822411.2056028
1.1777598288687076e-09,45222611.30565283
1.1777635464154444e-09,45622811.40570285
1.1777672831021927e-09,46023011.50575288
1.1777710390604738e-09,46423211.6058029
1.1777748144229493e-09,46823411.705852926
1.177778609323435e-09,47223611.80590296
1.1777824238968806e-09,47623811.90595298
1.1777862582794145e-09,48024012.00600301
1.1777901126083486e-09,48424212.10605303
1.177793987022172e-09,48824412.20610306
1.1777978816605867e-09,49224612.30615308
1.177801796664506e-09,49624812.406203106
1.177805732176066e-09,50025012.50625313
1.1778096883386716e-09,50425212.606303155
1.1778136652969504e-09,50825412.70635318
1.1778176631968094e-09,51225612.806403205
1.1778216821854397e-09,51625812.90645323
1.177825722411323e-09,52026013.006503254
1.177829784024248e-09,52426213.10655328
1.1778338671753382e-09,52826413.2066033
1.1778379720170293e-09,53226613.30665333
1.177842098703129e-09,53626813.40670335
1.1778462473888024e-09,54027013.50675338
1.1778504182305908e-09,54427213.6068034
1.177854611386431e-09,54827413.70685343
1.177858827015666e-09,55227613.80690345
1.177863065279077e-09,55627813.906953484
1.1778673263388567e-09,56028014.00700351
1.1778716103586843e-09,56428214.10705353
1.177875917503689e-09,56828414.20710356
1.1778802479404865e-09,57228614.30715358
1.1778846018372057e-09,57628814.40720361
1.1778889793634861e-09,58029014.50725363
1.1778933806905038e-09,58429214.60730366
1.1778978059909904e-09,58829414.70735368
1.177902255439237e-09,59229614.807403706
1.1779067292111299e-09,59629814.90745373
1.177911227484153e-09,60030015.007503755
1.1779157504374043e-09,60430215.10755378
1.1779202982516434e-09,60830415.207603805
1.1779248711092723e-09,61230615.30765383
1.1779294691943453e-09,61630815.407703854
1.1779340926926506e-09,62031015.50775388
1.1779387417916628e-09,62431215.6078039
1.17794341668059e-09,62831415.70785393
1.1779481175504001e-09,63231615.80790395
1.177952844593823e-09,63631815.90795398
1.1779575980053673e-09,64032016.00800401
1.177962377981382e-09,64432216.108054034
1.1779671847199985e-09,64832416.20810406
1.1779720184212478e-09,65232616.308154084
1.1779768792869958e-09,65632816.40820411
1.177981767521013e-09,66033016.50825413
1.177986683328987e-09,66433216.60830416
1.177991626918534e-09,66833416.70835418
1.177996598499222e-09,67233616.8084042
1.1780015982826047e-09,67633816.90845422
1.1780066264822313e-09,68034017.00850426
1.1780116833136853e-09,68434217.10855429
1.1780167689945799e-09,68834417.2086043
1.1780218837446153e-09,69234617.30865434
1.1780270277855652e-09,69634817.40870436
1.1780322013413435e-09,70035017.50875439
1.1780374046379903e-09,70435217.6088044
1.1780426379037206e-09,70835417.70885444
1.1780479013689333e-09,71235617.80890445
1.1780531952662456e-09,71635817.90895449
1.1780585198305218e-09,72036018.0090045
1.178063875298893e-09,72436218.10905454
1.1780692619107802e-09,72836418.20910455
1.178074679907925e-09,73236618.30915459
1.1780801295344318e-09,73636818.4092046
1.1780856110367542e-09,74037018.50925463
1.178091124663781e-09,74437218.60930465
1.1780966706668039e-09,74837418.70935468
1.1781022492995883e-09,75237618.8094047
1.1781078608183943e-09,75637818.90945473
1.17811350548199e-09,76038019.00950475
1.178119183551696e-09,76438219.10955478
1.178124895291404e-09,76838419.2096048
1.1781306409676207e-09,77238619.30965483
1.1781364208495017e-09,77638819.40970486
1.1781422352088612e-09,78039019.50975488
1.1781480843202105e-09,78439219.60980491
1.1781539684608121e-09,78839419.70985493
1.1781598879106924e-09,79239619.80990496
1.178165842952668e-09,79639819.90995498
1.1781718338724075e-09,80040020.01000501
1.1781778609584361e-09,80440220.11005503
1.1781839245021849e-09,80840420.21010506
1.178190024798024e-09,81240620.31015508
1.1781961621433068e-09,81640820.41020511
1.178202336838379e-09,82041020.51025513
1.1782085491866519e-09,82441220.61030516
1.178214799494611e-09,82841420.71035518
1.1782210880718656e-09,83241620.81040521
1.1782274152311824e-09,83641820.91045523
1.1782337812885289e-09,84042021.01050526
1.1782401865631163e-09,84442221.11055528
1.1782466313774303e-09,84842421.21060531
1.178253116057263e-09,85242621.31065533
1.178259640931792e-09,85642821.41070536
1.1782662063335647e-09,86043021.51075539
1.178272812598601e-09,86443221.6108054
1.1782794600663877e-09,86843421.71085544
1.178286149079942e-09,87243621.81090546
1.1782928799858735e-09,87643821.91095549
1.1782996531343857e-09,88044022.0110055
1.1783064688793624e-09,88444222.11105554
1.1783133275783861e-09,88844422.21110556
1.178320229592808e-09,89244622.31115559
1.1783271752877705e-09,89644822.4112056
1.1783341650322752e-09,90045022.51125564
1.1783411991992272e-09,90445222.61130565
1.1783482781654784e-09,90845422.71135569
1.1783554023118755e-09,91245622.8114057
1.1783625720233288e-09,91645822.91145574
1.1783697876888402e-09,92046023.01150575
1.1783770497015813e-09,92446223.11155578
1.1783843584589176e-09,92846423.2116058
1.1783917143624956e-09,93246623.31165583
1.1783991178182576e-09,93646823.41170585
1.1784065692365428e-09,94047023.51175588
1.1784140690321075e-09,94447223.61180592
1.1784216176241972e-09,94847423.71185593
1.1784292154366198e-09,95247623.81190597
1.1784368628977597e-09,95647823.91195598
1.178444560440699e-09,96048024.01200601
1.1784523085032226e-09,96448224.11205603
1.1784601075279149e-09,96848424.21210606
1.178467957962218e-09,97248624.31215608
1.1784758602584805e-09,97648824.41220611
1.1784838148740346e-09,98049024.51225613
1.1784918222712595e-09,98449224.61230616
1.1784998829176485e-09,98849424.71235618
1.1785079972858735e-09,99249624.81240621
1.1785161658538607e-09,99649824.91245623
1.1785243891048697e-09,100050025.01250626
1.178532667527517e-09,100450225.11255628
1.178541001615912e-09,100850425.21260631
1.1785493918697005e-09,101250625.31265633
1.1785578387941278e-09,101650825.41270636
1.1785663429001356e-09,102051025.51275638
1.1785749047044248e-09,102451225.61280641
1.1785835247295392e-09,102851425.71285644
1.1785922035039555e-09,103251625.81290646
1.1786009415621483e-09,103651825.91295649
1.1786097394446568e-09,104052026.01300651
1.178618597698221e-09,104452226.11305654
1.1786275168758114e-09,104852426.21310656
1.1786364975367487e-09,105252626.31315659
1.1786455402467637e-09,105652826.4132066
1.1786546455781177e-09,106053026.51325664
1.1786638141096748e-09,106453226.61330666
1.1786730464269859e-09,106853426.71335669
1.1786823431223934e-09,107253626.8134067
1.1786917047951301e-09,107653826.91345674
1.1787011320514008e-09,108054027.01350676
1.1787106255044984e-09,108454227.11355679
1.1787201857748773e-09,108854427.2136068
1.178729813490284e-09,109254627.31365684
1.1787395092858351e-09,109654827.41370685
1.1787492738041335e-09,110055027.51375689
1.1787591076953755e-09,110455227.6138069
1.1787690116174566e-09,110855427.71385694
1.1787789862360844e-09,111255627.81390697
1.1787890322248555e-09,111655827.91395698
1.1787991502654448e-09,112056028.01400702
1.1788093410476395e-09,112456228.11405703
1.1788196052694996e-09,112856428.21410707
1.178829943637479e-09,113256628.31415708
1.1788403568665224e-09,113656828.41420712
1.1788508456802016e-09,114057028.51425713
1.178861410810851e-09,114457228.61430717
1.1788720529996796e-09,114857428.71435718
1.1788827729968924e-09,115257628.81440721
1.178893571561855e-09,115657828.91445723
1.1789044494631913e-09,116058029.01450726
1.1789154074789435e-09,116458229.11455728
1.1789264463966977e-09,116858429.21460731
1.1789375670137266e-09,117258629.31465733
1.1789487701371375e-09,117658829.41470736
1.1789600565840246e-09,118059029.51475738
1.1789714271815898e-09,118459229.61480741
1.1789828827673325e-09,118859429.71485743
1.1789944241891562e-09,119259629.81490746
1.179006052305577e-09,119659829.9149575
1.1790177679858455e-09,120060030.01500751
1.179029572110112e-09,120460230.11505754
1.1790414655695965e-09,120860430.21510756
1.179053449266782e-09,121260630.31515759
1.1790655241155284e-09,121660830.41520761
1.1790776910412892e-09,122061030.51525764
1.1790899509812822e-09,122461230.61530766
1.1791023048846547e-09,122861430.71535769
1.1791147537126829e-09,123261630.81540771
1.1791272984389321e-09,123661830.91545774
1.1791399400494806e-09,124062031.01550776
1.1791526795430838e-09,124462231.11555779
1.1791655179313895e-09,124862431.2156078
1.1791784562391169e-09,125262631.31565784
1.1791914955042756e-09,125662831.41570786
1.1792046367783842e-09,126063031.51575789
1.179217881126655e-09,126463231.6158079
1.1792312296282036e-09,126863431.71585794
1.17924468337631e-09,127263631.81590796
1.1792582434786009e-09,127663831.91595799
1.179271911057285e-09,128064032.01600802
1.1792856872493939e-09,128464232.11605804
1.1792995732070235e-09,128864432.21610807
1.1793135700975392e-09,129264632.31615809
1.1793276791038527e-09,129664832.41620812
1.1793419014246699e-09,130065032.51625814
1.1793562382747103e-09,130465232.61630817
1.1793706908850127e-09,130865432.71635818
1.1793852605031504e-09,131265632.81640822
1.1793999483935458e-09,131665832.91645823
1.1794147558376959e-09,132066033.01650827
1.179429684134487e-09,132466233.11655828
1.1794447346004537e-09,132866433.21660832
1.1794599085700895e-09,133266633.31665833
1.1794752073961203e-09,133666833.41670837
1.1794906324498097e-09,134067033.51675838
1.179506185121262e-09,134467233.6168084
1.1795218668197523e-09,134867433.71685845
1.1795376789740235e-09,135267633.81690845
1.179553623032603e-09,135667833.91695848
1.1795697004641633e-09,136068034.0170085
1.1795859127578225e-09,136468234.11705855
1.1796022614235107e-09,136868434.21710858
1.1796187479923106e-09,137268634.31715858
1.1796353740168123e-09,137668834.4172086
1.1796521410714793e-09,138069034.51725864
1.179669050753018e-09,138469234.61730868
1.1796861046807532e-09,138869434.71735868
1.1797033044970174e-09,139269634.8174087
1.179720651867531e-09,139669834.91745874
1.1797381484818255e-09,140070035.01750877
1.1797557960536342e-09,140470235.11755878
1.1797735963213101e-09,140870435.2176088
1.1797915510482508e-09,141270635.31765884
1.1798096620233361e-09,141670835.41770887
1.1798279310613818e-09,142071035.51775888
1.1798463600035587e-09,142471235.6178089
1.1798649507178892e-09,142871435.71785894
1.1798837050996967e-09,143271635.81790897
1.1799026250720725e-09,143671835.91795897
1.179921712586403e-09,144072036.018009
1.179940969622842e-09,144472236.11805904
1.1799603981908181e-09,144872436.21810907
1.1799800003295662e-09,145272636.3181591
1.1799997781086543e-09,145672836.4182091
1.1800197336285238e-09,146073036.51825914
1.1800398690210613e-09,146473236.61830917
1.180060186450115e-09,146873436.7183592
1.1800806881121241e-09,147273636.8184092
1.1801013762366895e-09,147673836.91845924
1.1801222530871637e-09,148074037.01850927
1.1801433209612715e-09,148474237.1185593
1.1801645821917477e-09,148874437.2186093
1.1801860391469534e-09,149274637.31865934
1.1802076942315628e-09,149674837.41870937
1.1802295498872088e-09,150075037.5187594
1.1802516085931648e-09,150475237.6188094
1.1802738728670491e-09,150875437.71885943
1.180296345265532e-09,151275637.81890947
1.1803190283850772e-09,151675837.9189595
1.1803419248626666e-09,152076038.0190095
1.1803650373765693e-09,152476238.11905953
1.1803883686471201e-09,152876438.21910957
1.1804119214375141e-09,153276638.3191596
1.1804356985545943e-09,153676838.4192096
1.1804597028497205e-09,154077038.51925963
1.18048393721959e-09,154477238.61930966
1.1805084046070978e-09,154877438.7193597
1.1805331080022456e-09,155277638.81940973
1.1805580504430304e-09,155677838.91945973
1.1805832350163692e-09,156078039.01950976
1.1806086648590566e-09,156478239.1195598
1.1806343431587132e-09,156878439.21960983
1.1806602731548165e-09,157278639.31965983
1.180686458139646e-09,157678839.41970986
1.1807129014593768e-09,158079039.5197599
1.1807396065151227e-09,158479239.61980993
1.1807665767640063e-09,158879439.71985993
1.1807938157202652e-09,159279639.81990996
1.1808213269564156e-09,159679839.91996
1.180849114104373e-09,160080040.02001002
1.180877180856671e-09,160480240.12006003
1.1809055309676592e-09,160880440.22011006
1.1809341682547421e-09,161280640.3201601
1.1809630965996667e-09,161680840.42021012
1.1809923199498138e-09,162081040.52026013
1.181021842319531e-09,162481240.62031016
1.1810516677914968e-09,162881440.7203602
1.181081800518129e-09,163281640.82041022
