Channel 1!!!_x,Channel 1!!!_y
0.,1.0170747265
1.,1.0021334399
2.,0.9765198056
3.,1.0170747265
4.,1.0199206859
5.,0.9999989704
6.,1.0046236543
7.,0.9996432255
8.,1.0042679094
9.,1.0081811035
10.,1.0380636768
11.,1.0213436656
12.,1.0224109003
13.,1.0441113405
14.,1.0131615324
15.,0.9871921532
16.,1.0206321757
17.,1.0622543314
18.,1.0049793993
19.,1.086444986
20.,0.9722508666
21.,1.0199206859
22.,0.9651359682
23.,1.0024891848
24.,0.9797215099
25.,1.0145845121
26.,1.0010662051
27.,1.0056908891
28.,1.0209879207
29.,1.0014219501
30.,1.0188534511
31.,1.0064023789
32.,1.0028449297
33.,1.0505147490
34.,0.9651359682
35.,1.0042679094
36.,1.0042679094
37.,0.9967972661
38.,0.9967972661
39.,1.0064023789
40.,0.9782985302
41.,1.0359292073
42.,1.0675905052
43.,1.001777695
44.,1.0369964421
45.,0.9718951217
46.,1.0174304715
47.,1.0035564196
48.,0.9882593880
49.,1.0042679094
50.,1.0071138688
51.,1.0103155731
52.,1.0227666453
53.,1.0103155731
54.,1.0412653811
55.,0.9996432255
56.,1.037352187
57.,0.9893266228
58.,1.019564941
59.,1.0181419613
60.,0.9886151329
61.,0.9775870404
62.,1.0533607084
63.,1.04624581
64.,1.0334389929
65.,1.001777695
66.,1.0170747265
67.,1.0444670854
68.,1.0046236543
69.,0.9832789591
70.,0.9982202458
71.,1.0053351442
72.,1.010671318
73.,1.0039121645
74.,1.0288143089
75.,1.028458564
76.,1.0042679094
77.,1.0288143089
78.,1.0007104602
79.,1.0337947378
80.,1.0032006747
81.,0.9939513067
82.,0.992884072
83.,1.0309487784
84.,1.0049793993
85.,1.0345062276
86.,0.9918168372
87.,0.9935955618
88.,1.0110270629
89.,1.0092483383
90.,1.0220551554
91.,0.9882593880
92.,1.0220551554
93.,1.0056908891
94.,1.001777695
95.,1.0128057875
96.,1.0266798394
97.,1.0341504827
98.,1.0128057875
99.,1.0138730223
100.,1.0352177175
101.,0.9733181014
102.,1.0028449297
103.,1.0021334399
104.,1.0174304715
105.,1.0142287672
106.,1.0426883608
107.,1.0369964421
108.,1.0156517469
109.,1.001777695
110.,0.9871921532
111.,1.0298815437
112.,1.0124500426
113.,1.0320160132
114.,1.0007104602
115.,1.0113828078
116.,1.0224109003
117.,0.9914610923
118.,0.9946627966
119.,0.9775870404
120.,1.0291700538
121.,1.0188534511
122.,1.0024891848
123.,1.0174304715
