Name,Sweep (T1),,,
Date,06/19/2025,,,
Time,13:05:50,,,
Instrument,FPC1000 - 204582/002,,,
Firmware Version,V1.70,,,
Country of Origin,Czech Republic,,,
Instrument Mode,Spectrum Analyzer,,,
Meas Mode,Spectrum,,,
Uplink,- - -,,,
Downlink,- - -,,,
Channel,- - -,,,
Center Frequency,400000000,Hz,,
Frequency Offset,0,Hz,,
Span,800000000,Hz,,
Ref Level,-69.1,dBm,,
Ref Offset,-59.1,dB,,
Ref Position,1.00 ,,,
Range,100,dB,,
RF Attenuation,Manual,,,
RF Attenuator,0,dB,,
Pre-Amplifier,Off,,,
RF Input,50 Ω,,,
RBW,300000,Hz,,
VBW,3000,Hz,,
SWT,2.22,s,,
Trigger Mode,Free Run,,,
Trigger Level,- - -,,,
Trigger Delay,- - -,,,
Trace Mode,Average,,,
Trace Math,Trace - Mem,,,
Trace Detector,Sample,,,
Primary Transducer,- - -,,,
Secondary Transducer,- - -,,,
Isotropic Antenna,Off,,,
Average Count,Sweep 10 of 10,,,
Limit Line 1,- - -,,,
Result Limit Line 1,- - -,,,
Limit Line 2,- - -,,,
Result Limit Line 2,- - -,,,
Marker 1,374280879.9,Hz,,
Marker 1 Value,-97.02,dB,,
Marker 2,304754653.1,Hz,,
Marker 2 Value,-104,dB,,

Frequency [Hz],Magnitude [dBm],,,
0,-101.0771484375,,,
676818.950930626,-118.321578979492,,,
1353637.90186125,-118.220848083496,,,
2030456.85279188,-117.900169372559,,,
2707275.8037225,-118.0107421875,,,
3384094.75465313,-118.567054748535,,,
4060913.70558376,-118.302513122559,,,
4737732.65651438,-118.158187866211,,,
5414551.60744501,-118.116310119629,,,
6091370.55837563,-118.42684173584,,,
6768189.50930626,-118.334884643555,,,
7445008.46023689,-118.515029907227,,,
8121827.41116751,-118.40616607666,,,
8798646.36209814,-118.696739196777,,,
9475465.31302876,-118.408569335938,,,
10152284.2639594,-118.04313659668,,,
10829103.21489,-118.358985900879,,,
11505922.1658206,-118.183639526367,,,
12182741.1167513,-118.207107543945,,,
12859560.0676819,-117.989059448242,,,
13536379.0186125,-118.284156799316,,,
14213197.9695431,-117.978843688965,,,
14890016.9204738,-118.004165649414,,,
15566835.8714044,-118.238952636719,,,
16243654.822335,-118.007507324219,,,
16920473.7732656,-117.849197387695,,,
17597292.7241963,-118.164916992188,,,
18274111.6751269,-118.033706665039,,,
18950930.6260575,-118.113464355469,,,
19627749.5769882,-117.605125427246,,,
20304568.5279188,-117.819686889648,,,
20981387.4788494,-117.974105834961,,,
21658206.42978,-118.201187133789,,,
22335025.3807107,-117.756385803223,,,
23011844.3316413,-117.751747131348,,,
23688663.2825719,-117.835342407227,,,
24365482.2335025,-117.85661315918,,,
25042301.1844332,-117.700668334961,,,
25719120.1353638,-117.852088928223,,,
26395939.0862944,-117.66960144043,,,
27072758.037225,-117.696083068848,,,
27749576.9881557,-117.284034729004,,,
28426395.9390863,-117.896507263184,,,
29103214.8900169,-117.657089233398,,,
29780033.8409475,-117.414672851563,,,
30456852.7918782,-117.345703125,,,
31133671.7428088,-117.659034729004,,,
31810490.6937394,-117.793380737305,,,
32487309.64467,-117.927711486816,,,
33164128.5956007,-117.591247558594,,,
33840947.5465313,-117.636024475098,,,
34517766.4974619,-117.858474731445,,,
35194585.4483926,-117.753601074219,,,
35871404.3993232,-117.588424682617,,,
36548223.3502538,-117.615501403809,,,
37225042.3011844,-118.017532348633,,,
37901861.2521151,-117.462867736816,,,
38578680.2030457,-117.824447631836,,,
39255499.1539763,-118.04997253418,,,
39932318.1049069,-117.815872192383,,,
40609137.0558376,-117.521926879883,,,
41285956.0067682,-117.75594329834,,,
41962774.9576988,-117.614242553711,,,
42639593.9086294,-118.111877441406,,,
43316412.8595601,-117.947898864746,,,
43993231.8104907,-117.797523498535,,,
44670050.7614213,-117.770774841309,,,
45346869.7123519,-117.505897521973,,,
46023688.6632826,-118.024452209473,,,
46700507.6142132,-118.042907714844,,,
47377326.5651438,-117.648422241211,,,
48054145.5160744,-118.093154907227,,,
48730964.4670051,-117.830001831055,,,
49407783.4179357,-117.68391418457,,,
50084602.3688663,-117.72859954834,,,
50761421.319797,-118.091842651367,,,
51438240.2707276,-118.003578186035,,,
52115059.2216582,-117.87784576416,,,
52791878.1725888,-118.018051147461,,,
