Name,Sweep (T1),,,
Date,06/19/2025,,,
Time,13:09:57,,,
Instrument,FPC1000 - 204582/002,,,
Firmware Version,V1.70,,,
Country of Origin,Czech Republic,,,
Instrument Mode,Spectrum Analyzer,,,
Meas Mode,Spectrum,,,
Uplink,- - -,,,
Downlink,- - -,,,
Channel,- - -,,,
Center Frequency,400000000,Hz,,
Frequency Offset,0,Hz,,
Span,800000000,Hz,,
Ref Level,-69.1,dBm,,
Ref Offset,-59.1,dB,,
Ref Position,1.00 ,,,
Range,100,dB,,
RF Attenuation,Manual,,,
RF Attenuator,0,dB,,
Pre-Amplifier,Off,,,
RF Input,50 Ω,,,
RBW,300000,Hz,,
VBW,3000,Hz,,
SWT,2.22,s,,
Trigger Mode,Free Run,,,
Trigger Level,- - -,,,
Trigger Delay,- - -,,,
Trace Mode,Average,,,
Trace Math,Trace - Mem,,,
Trace Detector,Sample,,,
Primary Transducer,- - -,,,
Secondary Transducer,- - -,,,
Isotropic Antenna,Off,,,
Average Count,Sweep 10 of 10,,,
Limit Line 1,- - -,,,
Result Limit Line 1,- - -,,,
Limit Line 2,- - -,,,
Result Limit Line 2,- - -,,,
Marker 1,374280879.9,Hz,,
Marker 1 Value,-109.74,dB,,
Marker 2,304754653.1,Hz,,
Marker 2 Value,-113.78,dB,,

Frequency [Hz],Magnitude [dBm],,,
0,-102.100242614746,,,
676818.950930626,-120.234725952148,,,
1353637.90186125,-120.194931030273,,,
2030456.85279188,-120.058738708496,,,
2707275.8037225,-120.650672912598,,,
3384094.75465313,-120.436561584473,,,
4060913.70558376,-120.561058044434,,,
4737732.65651438,-120.52547454834,,,
5414551.60744501,-120.688980102539,,,
6091370.55837563,-120.47184753418,,,
6768189.50930626,-120.471725463867,,,
7445008.46023689,-120.701599121094,,,
8121827.41116751,-120.62744140625,,,
8798646.36209814,-120.278282165527,,,
9475465.31302876,-120.670166015625,,,
10152284.2639594,-120.595970153809,,,
10829103.21489,-120.556564331055,,,
11505922.1658206,-120.795570373535,,,
12182741.1167513,-120.634689331055,,,
12859560.0676819,-120.524757385254,,,
13536379.0186125,-120.581466674805,,,
14213197.9695431,-120.550804138184,,,
14890016.9204738,-120.252746582031,,,
15566835.8714044,-120.240333557129,,,
16243654.822335,-120.152145385742,,,
16920473.7732656,-120.485107421875,,,
17597292.7241963,-120.251663208008,,,
18274111.6751269,-120.388687133789,,,
18950930.6260575,-120.336685180664,,,
19627749.5769882,-120.133995056152,,,
20304568.5279188,-120.25984954834,,,
20981387.4788494,-120.156188964844,,,
21658206.42978,-120.067153930664,,,
22335025.3807107,-120.265548706055,,,
23011844.3316413,-119.974380493164,,,
23688663.2825719,-120.391258239746,,,
24365482.2335025,-120.135643005371,,,
25042301.1844332,-120.122116088867,,,
25719120.1353638,-120.156555175781,,,
26395939.0862944,-120.315208435059,,,
27072758.037225,-120.157638549805,,,
27749576.9881557,-120.13761138916,,,
28426395.9390863,-120.162475585938,,,
29103214.8900169,-119.98225402832,,,
29780033.8409475,-119.960876464844,,,
30456852.7918782,-120.485122680664,,,
31133671.7428088,-120.102828979492,,,
31810490.6937394,-120.056663513184,,,
32487309.64467,-120.01725769043,,,
33164128.5956007,-120.48991394043,,,
33840947.5465313,-120.180374145508,,,
34517766.4974619,-120.292861938477,,,
35194585.4483926,-120.501602172852,,,
35871404.3993232,-120.091125488281,,,
36548223.3502538,-120.27725982666,,,
37225042.3011844,-120.079513549805,,,
37901861.2521151,-120.422958374023,,,
38578680.2030457,-120.322082519531,,,
39255499.1539763,-120.361206054688,,,
39932318.1049069,-120.168441772461,,,
40609137.0558376,-120.453262329102,,,
41285956.0067682,-120.054138183594,,,
41962774.9576988,-120.116371154785,,,
42639593.9086294,-120.438278198242,,,
43316412.8595601,-120.395347595215,,,
43993231.8104907,-120.293479919434,,,
44670050.7614213,-120.401245117188,,,
45346869.7123519,-120.097473144531,,,
46023688.6632826,-120.060012817383,,,
46700507.6142132,-120.056747436523,,,
47377326.5651438,-120.12393951416,,,
48054145.5160744,-120.253639221191,,,
48730964.4670051,-120.250343322754,,,
49407783.4179357,-120.245094299316,,,
50084602.3688663,-120.459335327148,,,
50761421.319797,-120.019027709961,,,
51438240.2707276,-120.246704101563,,,
52115059.2216582,-120.388412475586,,,
