Name,Sweep (T1),,,
Date,06/19/2025,,,
Time,12:33:23,,,
Instrument,FPC1000 - 204582/002,,,
Firmware Version,V1.70,,,
Country of Origin,Czech Republic,,,
Instrument Mode,Spectrum Analyzer,,,
Meas Mode,Spectrum,,,
Uplink,- - -,,,
Downlink,- - -,,,
Channel,- - -,,,
Center Frequency,400000000,Hz,,
Frequency Offset,0,Hz,,
Span,800000000,Hz,,
Ref Level,-69.1,dBm,,
Ref Offset,-59.1,dB,,
Ref Position,1.00 ,,,
Range,100,dB,,
RF Attenuation,Manual,,,
RF Attenuator,0,dB,,
Pre-Amplifier,Off,,,
RF Input,50 Ω,,,
RBW,300000,Hz,,
VBW,3000,Hz,,
SWT,2.22,s,,
Trigger Mode,Free Run,,,
Trigger Level,- - -,,,
Trigger Delay,- - -,,,
Trace Mode,Average,,,
Trace Math,Trace - Mem,,,
Trace Detector,Sample,,,
Primary Transducer,- - -,,,
Secondary Transducer,- - -,,,
Isotropic Antenna,Off,,,
Average Count,Sweep 10 of 10,,,
Limit Line 1,- - -,,,
Result Limit Line 1,- - -,,,
Limit Line 2,- - -,,,
Result Limit Line 2,- - -,,,
Marker 1,374280879.9,Hz,,
Marker 1 Value,-79.81,dB,,
Marker 2,304754653.1,Hz,,
Marker 2 Value,-95.21,dB,,

Frequency [Hz],Magnitude [dBm],,,
0,-97.1311187744141,,,
676818.950930626,-113.268630981445,,,
1353637.90186125,-113.185218811035,,,
2030456.85279188,-113.127807617188,,,
2707275.8037225,-113.203308105469,,,
3384094.75465313,-113.413269042969,,,
4060913.70558376,-113.062026977539,,,
4737732.65651438,-113.577186584473,,,
5414551.60744501,-113.312843322754,,,
6091370.55837563,-113.253921508789,,,
6768189.50930626,-113.356002807617,,,
7445008.46023689,-113.346435546875,,,
8121827.41116751,-113.031944274902,,,
8798646.36209814,-113.70832824707,,,
9475465.31302876,-113.604263305664,,,
10152284.2639594,-113.198486328125,,,
10829103.21489,-113.809097290039,,,
11505922.1658206,-113.65966796875,,,
12182741.1167513,-113.300758361816,,,
12859560.0676819,-113.275146484375,,,
13536379.0186125,-113.513343811035,,,
14213197.9695431,-113.580955505371,,,
14890016.9204738,-113.647338867188,,,
15566835.8714044,-113.667678833008,,,
16243654.822335,-113.429321289063,,,
16920473.7732656,-113.565269470215,,,
17597292.7241963,-113.935264587402,,,
18274111.6751269,-113.589881896973,,,
18950930.6260575,-113.506568908691,,,
19627749.5769882,-113.488327026367,,,
20304568.5279188,-113.877296447754,,,
20981387.4788494,-113.499618530273,,,
21658206.42978,-113.420677185059,,,
22335025.3807107,-113.464706420898,,,
23011844.3316413,-113.558486938477,,,
23688663.2825719,-113.459632873535,,,
24365482.2335025,-113.378646850586,,,
25042301.1844332,-113.458053588867,,,
25719120.1353638,-114.102149963379,,,
26395939.0862944,-113.74577331543,,,
27072758.037225,-113.196632385254,,,
27749576.9881557,-113.180953979492,,,
28426395.9390863,-113.64338684082,,,
29103214.8900169,-113.710472106934,,,
29780033.8409475,-113.58903503418,,,
30456852.7918782,-113.521728515625,,,
31133671.7428088,-113.608032226563,,,
31810490.6937394,-113.628868103027,,,
32487309.64467,-113.422348022461,,,
33164128.5956007,-113.150146484375,,,
33840947.5465313,-113.196800231934,,,
34517766.4974619,-113.203102111816,,,
35194585.4483926,-113.315101623535,,,
35871404.3993232,-112.888381958008,,,
36548223.3502538,-113.077125549316,,,
37225042.3011844,-113.538330078125,,,
37901861.2521151,-113.108352661133,,,
38578680.2030457,-112.956275939941,,,
39255499.1539763,-113.117904663086,,,
39932318.1049069,-113.711204528809,,,
40609137.0558376,-113.505653381348,,,
41285956.0067682,-113.375038146973,,,
41962774.9576988,-112.977890014648,,,
42639593.9086294,-112.892456054688,,,
43316412.8595601,-113.105140686035,,,
43993231.8104907,-113.243530273438,,,
44670050.7614213,-112.666854858398,,,
45346869.7123519,-112.662620544434,,,
46023688.6632826,-112.720718383789,,,
46700507.6142132,-112.934898376465,,,
47377326.5651438,-113.027481079102,,,
48054145.5160744,-113.282447814941,,,
48730964.4670051,-112.759132385254,,,
49407783.4179357,-112.256423950195,,,
50084602.3688663,-112.418968200684,,,
50761421.319797,-112.46891784668,,,
51438240.2707276,-112.281936645508,,,
52115059.2216582,-112.229736328125,,,
