Name,Sweep (T1),,,
Date,16/07/2025,,,
Time,15:17:34,,,
Instrument,FPC1000 - 101497/002,,,
Firmware Version,V1.10,,,
Instrument Mode,Spectrum Analyzer,,,
Meas Mode,Spectrum,,,
Uplink,- - -,,,
Downlink,- - -,,,
Channel,- - -,,,
Center Frequency,365000000,Hz,,
Frequency Offset,0,Hz,,
Span,300000000,Hz,,
Ref Level,-42.9,dBm,,
Ref Offset,-3.5,dB,,
Ref Position,1.00,,,
Range,2,dB,,
RF Attenuation,Manual,,,
RF Attenuator,0,dB,,
Pre-Amplifier,Off,,,
RF Input,50 Ω,,,
RBW,1000000,Hz,,
VBW,3000,Hz,,
SWT,0.25,s,,
Trigger Mode,Free Run,,,
Trigger Level,- - -,,,
Trigger Delay,- - -,,,
Trace Mode,Average,,,
Trace Math,Trace - Mem,,,
Trace Detector,Sample,,,
Primary Transducer,- - -,,,
Secondary Transducer,- - -,,,
Isotropic Antenna,Off,,,
Average Count,Sweep 10 of 10,,,
Limit Line 1,- - -,,,
Result Limit Line 1,- - -,,,
Limit Line 2,- - -,,,
Result Limit Line 2,- - -,,,
Marker 1,240287598.8,Hz,,
Marker 1 Value,-43.66,dB,,

Frequency [Hz],Magnitude [dBm],,,
215000000,-56.3604850769043,,,
215253807.106599,-56.5332260131836,,,
215507614.213198,-56.4215698242188,,,
215761421.319797,-56.3698120117188,,,
216015228.426396,-56.476936340332,,,
216269035.532995,-56.4880180358887,,,
216522842.639594,-56.3826370239258,,,
216776649.746193,-56.3930053710938,,,
217030456.852792,-56.4925956726074,,,
217284263.959391,-56.4760055541992,,,
217538071.06599,-56.5385322570801,,,
217791878.172589,-56.5765190124512,,,
218045685.279188,-56.6022872924805,,,
218299492.385787,-56.4859733581543,,,
218553299.492386,-56.6454658508301,,,
218807106.598985,-56.4496040344238,,,
219060913.705584,-56.6581192016602,,,
219314720.812183,-56.537769317627,,,
219568527.918782,-56.4412536621094,,,
219822335.025381,-56.4775314331055,,,
220076142.13198,-56.5148811340332,,,
220329949.238579,-56.5485649108887,,,
220583756.345178,-56.3557968139648,,,
220837563.451777,-56.4805793762207,,,
221091370.558376,-56.4881362915039,,,
221345177.664975,-56.5344047546387,,,
221598984.771574,-56.5303649902344,,,
221852791.878173,-56.5440139770508,,,
222106598.984772,-56.3975830078125,,,
222360406.091371,-56.3486099243164,,,
222614213.19797,-56.4184875488281,,,
222868020.304569,-56.392650604248,,,
223121827.411168,-56.3057327270508,,,
223375634.517767,-56.5058975219727,,,
223629441.624365,-56.5787353515625,,,
223883248.730964,-56.518928527832,,,
224137055.837563,-56.4606819152832,,,
224390862.944162,-56.5495834350586,,,
224644670.050761,-56.5450325012207,,,
224898477.15736,-56.489616394043,,,
225152284.263959,-56.4541816711426,,,
225406091.370558,-56.4141159057617,,,
225659898.477157,-56.5809097290039,,,
225913705.583756,-56.4527969360352,,,
226167512.690355,-56.3323783874512,,,
226421319.796954,-56.4777717590332,,,
226675126.903553,-56.404670715332,,,
226928934.010152,-56.5493698120117,,,
227182741.116751,-56.5048141479492,,,
227436548.22335,-56.455493927002,,,
227690355.329949,-56.4239883422852,,,
227944162.436548,-56.4675827026367,,,
228197969.543147,-56.4490051269531,,,
228451776.649746,-56.5506973266602,,,
228705583.756345,-56.3400764465332,,,
228959390.862944,-56.5147476196289,,,
229213197.969543,-56.4203681945801,,,
229467005.076142,-56.4447937011719,,,
229720812.182741,-56.4373970031738,,,
