fit_power_dBm,frequency_Hz
-57.99636641256563,154877438.7193597
-57.978094976731406,155277638.81940973
-57.95945244121043,155677838.91945973
-57.94042925579888,156078039.01950976
-57.92101558360795,156478239.1195598
-57.90120129176868,156878439.21960983
-57.88097594184847,157278639.31965983
-57.860328779973614,157678839.41970986
-57.83924872665303,158079039.5197599
-57.81772436629839,158479239.61980993
-57.79574393643674,158879439.71985993
-57.77329531661202,159279639.81990996
-57.750366016972954,159679839.91996
-57.72694316654528,160080040.02001002
-57.703013501187655,160480240.12006003
-57.67856335123129,160880440.22011006
-57.6535786288051,161280640.3201601
-57.62804481484924,161680840.42021012
-57.60194694582184,162081040.52026013
-57.57526960010551,162481240.62031016
-57.54799688412244,162881440.7203602
-57.52011241816924,163281640.82041022
-57.491599321985404,163681840.92046025
-57.46244020007245,164082041.02051026
-57.43261712678409,164482241.1205603
-57.40211163121166,164882441.22061032
-57.370904681893386,165282641.32066035
-57.33897667138073,165682841.42071036
-57.30630740070048,166083041.5207604
-57.27287606375725,166483241.62081042
-57.23866123172734,166883441.72086045
-57.203640837502704,167283641.82091045
-57.16779216025133,167683841.9209605
-57.1310918101699,168084042.02101052
-57.09351571351393,168484242.12106055
-57.05503909800213,168884442.22111055
-57.0156364787034,169284642.32116058
-56.97528164452853,169684842.42121062
-56.93394764546317,170085042.52126065
-56.891606780695,170485242.62131065
-56.84823058780556,170885442.72136068
-56.80378983321707,171285642.82141072
-56.75825450410542,171685842.92146075
-56.71159380201452,172086043.02151078
-56.66377613843213,172486243.12156078
-56.61476913261573,172886443.2216108
-56.56453961198707,173286643.32166085
-56.51305361544721,173686843.42171088
-56.46027639999974,174087043.52176088
-56.406172451108965,174487243.6218109
-56.35070549726176,174887443.72186095
-56.293838529247395,175287643.82191098
-56.23553382471857,175687843.92196098
-56.17575297864943,176088044.022011
-56.114456940362814,176488244.12206104
-56.051606057858926,176888444.22211108
-55.98716013024165,177288644.32216108
-55.92107846910651,177688844.4222111
-55.853319969825804,178089044.52226114
-55.78384319374122,178489244.62231117
-55.7126064623528,178889444.72236118
-55.63956796467386,179289644.8224112
-55.56468587900522,179689844.92246124
-55.487918510466635,180090045.02251127
-55.40922444570896,180490245.1225613
-55.328562726315525,180890445.2226113
